Time_hour,Lat,Long,Count,Avg_speed,Chennai_colleges,Chennai_hotels,Chennai_schools,Chennai_hospitals,Chennai_markets,Chennai_transport_stand,Chennai_religious_places,Chennai_tourist_places
6.0,12.875655,80.082853,4.0,0.0,0,0,0,0,0,2,0,1
6.0,12.532444,79.900818,2.0,0.0,0,0,0,0,0,0,0,0
7.0,13.06374,80.250854,6.0,0.0,7,14,6,8,1,8,1,3
7.0,12.543551,79.904835,2.0,0.0,0,0,0,0,0,0,0,0
7.0,12.517886,79.890022,2.0,0.0,0,0,0,0,0,0,0,0
8.0,13.06381,80.250816,7.0,0.0,7,14,6,8,1,7,1,3
9.0,12.92985,80.079781,2.0,0.0,0,0,0,0,0,0,0,0
16.0,12.760095,80.003425,3.0,0.0,0,0,0,0,0,0,0,0
17.0,12.723483,79.981927,3.0,0.0,0,0,0,0,0,0,0,0
18.0,12.724052,79.981696,2.0,0.0,0,0,0,0,0,0,0,0
19.0,12.850022,80.064602,2.0,0.0,0,0,0,0,0,0,0,0
