Time_hour,Lat,Long,Count,Avg_speed,Chennai_colleges,Chennai_hotels,Chennai_schools,Chennai_hospitals,Chennai_markets,Chennai_transport_stand,Chennai_religious_places,Chennai_tourist_places
7.0,13.065218,80.247813,12.0,0.0,5,10,6,6,2,4,4,2
7.0,13.053134,80.272104,8.0,0.0,3,3,8,5,3,3,14,6
7.0,13.060348,80.274337,6.0,0.0,4,15,11,8,4,6,10,6
7.0,12.875621,80.082901,3.0,0.0,0,0,0,0,0,2,0,1
7.0,13.071166,80.265116,3.0,0.0,3,26,6,6,1,6,11,7
8.0,12.875968,80.083027,9.0,0.0,0,0,0,0,0,2,0,1
11.0,12.874286,80.08428,3.0,0.0,0,0,0,0,0,2,0,1
15.0,12.873944,80.084847,6.0,0.0,0,0,0,0,0,2,0,1
16.0,12.878779,80.081154,9.0,0.0,0,0,0,0,0,2,0,1
17.0,13.053199,80.271764,21.0,0.0,3,3,9,5,3,3,14,4
17.0,13.057404,80.273961,8.0,0.0,4,11,11,7,4,3,12,6
17.0,13.062228,80.274258,6.0,0.0,3,18,11,9,3,5,9,5
17.0,13.05945,80.265557,4.0,0.0,5,18,10,4,3,6,3,2
17.0,12.510567,79.88506,3.0,0.0,0,0,0,0,0,0,0,0
17.0,13.070954,80.265193,3.0,0.0,2,26,6,6,1,6,11,7
17.0,13.064499,80.247835,3.0,0.0,4,10,5,7,2,4,4,2
17.0,12.974388,80.135237,3.0,0.0,0,0,0,1,0,0,0,0
17.0,12.69669,79.976992,3.0,0.0,0,0,0,0,0,0,0,0
17.0,13.05192,80.263806,2.0,0.0,4,10,9,3,2,3,5,1
17.0,13.006785,80.247846,2.0,0.0,3,0,3,1,0,0,1,4
17.0,12.998238,80.096634,2.0,0.0,0,0,0,0,0,1,0,0
17.0,12.699975,79.968773,2.0,0.0,0,0,0,0,0,0,0,0
18.0,13.063894,80.250114,5.0,0.0,7,12,6,8,1,6,1,3
18.0,13.060968,80.274348,3.0,0.0,3,15,11,9,3,5,9,6
18.0,13.068731,80.267872,2.0,0.0,1,22,9,5,2,4,10,3
