Time_hour,Lat,Long,Count,Avg_speed,Chennai_colleges,Chennai_hotels,Chennai_schools,Chennai_hospitals,Chennai_markets,Chennai_transport_stand,Chennai_religious_places,Chennai_tourist_places
5.0,12.929972,80.121041,5.0,34.0,1,0,0,3,0,4,0,0
5.0,12.907309,80.096774,4.0,43.0,0,0,0,0,0,1,0,1
5.0,12.911917,80.101372,2.0,46.0,0,0,0,0,0,1,0,0
5.0,12.920535,80.111563,2.0,40.0,1,0,0,5,0,2,0,0
5.0,12.876102,80.07913,2.0,46.0,0,0,0,0,0,2,0,1
5.0,12.916345,80.105865,2.0,52.0,0,0,0,0,0,0,0,0
5.0,12.925335,80.116234,2.0,32.0,1,0,0,6,0,4,0,0
6.0,12.930491,80.121567,29.0,34.0,1,0,0,3,0,5,0,0
6.0,12.93407,80.125108,24.0,38.0,0,0,0,1,0,4,0,0
6.0,12.952523,80.141,24.0,40.0,0,1,0,0,0,1,1,0
6.0,12.910024,80.100069,21.0,40.0,0,0,0,0,0,1,0,0
6.0,12.957849,80.143837,20.0,39.0,0,1,0,1,0,1,0,0
6.0,13.042432,80.247439,14.0,33.0,7,13,4,5,0,8,7,3
6.0,13.031689,80.240882,14.0,33.0,9,6,1,6,0,2,3,3
6.0,12.905916,80.095746,14.0,40.0,0,0,0,0,0,1,0,1
6.0,13.028946,80.23644,13.0,40.0,8,4,0,3,0,3,3,0
6.0,12.937708,80.128388,13.0,41.0,0,0,0,1,0,3,0,1
6.0,13.026007,80.231215,13.0,44.0,6,0,0,0,1,4,6,1
6.0,13.021782,80.226015,13.0,42.0,2,0,1,2,1,4,7,2
6.0,12.918233,80.108716,13.0,47.0,0,0,0,3,0,0,0,0
6.0,12.963016,80.146756,11.0,39.0,0,1,0,1,0,1,0,0
6.0,12.989628,80.1789,11.0,44.0,0,0,0,1,0,0,0,1
6.0,13.002962,80.200716,11.0,49.0,1,0,0,2,2,0,2,1
6.0,13.034891,80.245663,10.0,24.0,7,10,3,9,0,7,2,2
6.0,12.90139,80.092358,9.0,50.0,0,0,0,0,0,1,0,1
6.0,13.001038,80.195366,9.0,51.0,1,1,0,0,2,0,2,1
6.0,13.008977,80.211592,8.0,47.0,0,0,0,2,0,6,2,1
6.0,13.047013,80.248342,8.0,42.0,5,14,6,3,0,9,9,2
6.0,12.992625,80.182947,8.0,43.0,0,1,0,1,0,1,0,0
6.0,13.053524,80.252538,7.0,43.0,10,10,8,8,1,9,7,3
6.0,12.925036,80.116136,7.0,35.0,1,0,0,6,0,4,0,0
6.0,12.997311,80.19076,6.0,53.0,0,2,0,0,0,1,2,0
6.0,13.016944,80.225221,6.0,40.0,2,1,2,2,1,3,6,1
6.0,12.875655,80.082853,6.0,0.0,0,0,0,0,0,2,0,1
6.0,13.059986,80.254238,6.0,33.0,9,12,5,8,1,7,1,2
6.0,12.796555,80.021272,4.0,40.0,0,0,0,0,0,0,0,0
6.0,12.845041,80.060984,4.0,37.0,0,0,0,0,0,0,0,0
6.0,12.986463,80.174635,4.0,48.0,0,0,0,0,0,0,0,1
6.0,12.922636,80.134914,4.0,40.0,0,0,0,1,0,0,0,0
6.0,12.883629,80.081528,4.0,35.0,0,0,0,0,0,1,0,1
6.0,12.942896,80.133398,4.0,56.0,0,0,1,2,0,4,0,1
6.0,13.010543,80.216321,4.0,43.0,1,1,0,1,0,6,2,1
6.0,13.056582,80.097428,4.0,31.0,0,0,0,0,0,1,0,0
6.0,13.067598,80.25347,3.0,25.0,4,10,8,8,2,2,3,3
6.0,12.484454,79.862988,3.0,56.0,0,0,0,0,0,0,0,0
6.0,12.451217,79.840232,3.0,52.0,0,0,0,0,0,0,0,0
6.0,12.841349,80.057114,3.0,35.0,0,0,0,0,0,0,0,0
6.0,12.657336,79.946694,3.0,36.0,0,0,0,0,0,0,0,0
6.0,12.651228,79.941788,3.0,53.0,0,0,0,0,0,0,0,0
6.0,12.772068,80.008289,3.0,51.0,0,0,0,0,0,0,0,0
6.0,12.777725,80.010838,2.0,58.0,0,0,0,0,0,0,0,0
6.0,12.709089,79.977492,2.0,40.0,0,0,0,0,0,0,0,0
6.0,12.697469,79.9672,2.0,49.0,0,0,0,0,0,0,0,0
6.0,12.922544,80.14354,2.0,36.0,0,0,2,1,0,0,1,1
6.0,12.786192,80.014734,2.0,56.0,0,0,0,0,0,0,0,0
6.0,12.893442,80.086435,2.0,54.0,0,0,0,0,0,0,0,0
6.0,12.540277,79.904401,2.0,47.0,0,0,0,0,0,0,0,0
6.0,12.472627,79.855262,2.0,58.0,0,0,0,0,0,0,0,0
6.0,12.443244,79.837267,2.0,52.0,0,0,0,0,0,0,0,0
7.0,13.011305,80.223556,181.0,37.0,2,1,1,2,0,0,1,0
7.0,13.001836,80.198397,138.0,42.0,1,0,0,3,2,0,3,1
7.0,13.01155,80.218925,133.0,38.0,2,1,1,1,0,7,2,1
7.0,13.005267,80.201735,123.0,42.0,1,0,0,3,2,0,3,1
7.0,13.008908,80.211645,102.0,44.0,0,0,0,2,0,6,2,1
7.0,13.007497,80.205848,99.0,43.0,0,0,0,2,1,6,2,2
7.0,12.999838,80.193964,88.0,42.0,1,1,0,0,1,1,2,1
7.0,13.015164,80.225942,87.0,39.0,2,1,2,2,1,3,4,0
7.0,13.036717,80.246431,86.0,32.0,5,12,4,9,0,7,2,2
7.0,13.03275,80.243089,80.0,32.0,7,8,1,8,0,4,2,3
7.0,13.028477,80.235951,79.0,37.0,8,2,0,3,0,3,3,0
7.0,12.995189,80.187918,76.0,35.0,0,2,0,0,0,1,0,0
7.0,12.987268,80.175867,76.0,36.0,0,0,0,0,0,0,0,1
7.0,12.992064,80.182288,71.0,33.0,0,1,0,1,0,1,0,1
7.0,13.009134,80.228462,71.0,42.0,4,1,1,2,0,0,1,0
7.0,13.025657,80.230515,70.0,35.0,4,0,0,0,1,4,6,1
7.0,12.984494,80.171829,67.0,42.0,0,0,0,0,0,0,0,1
7.0,13.06351,80.247746,65.0,23.0,4,10,4,7,1,6,5,1
7.0,13.041753,80.247491,57.0,32.0,8,15,4,6,0,7,7,2
7.0,13.021842,80.226162,57.0,39.0,2,0,1,2,1,4,7,2
