Time_hour,Lat,Long,Count,Avg_speed,Chennai_colleges,Chennai_hotels,Chennai_schools,Chennai_hospitals,Chennai_markets,Chennai_transport_stand,Chennai_religious_places,Chennai_tourist_places
5.0,12.874559,80.078479,17.0,53.0,0,0,0,0,0,2,0,1
5.0,12.849853,80.064807,12.0,56.0,0,0,0,0,0,0,0,0
5.0,12.892586,80.085794,9.0,56.0,0,0,0,0,0,0,0,0
5.0,12.830208,80.045429,9.0,55.0,0,0,0,0,0,0,0,0
5.0,12.878334,80.082329,8.0,52.0,0,0,0,0,0,2,0,1
5.0,12.868794,80.076216,8.0,53.0,0,0,0,0,0,1,0,0
5.0,12.840446,80.055824,7.0,55.0,0,0,0,0,0,0,0,0
5.0,12.854905,80.068413,7.0,55.0,0,0,0,0,0,0,0,0
5.0,12.903877,80.094272,7.0,57.0,0,0,0,0,0,1,0,1
5.0,12.887403,80.083412,7.0,51.0,0,0,0,0,0,1,0,1
5.0,12.916717,80.106507,5.0,54.0,0,0,0,0,0,0,0,0
5.0,12.920005,80.11101,5.0,53.0,1,0,0,5,0,1,0,0
5.0,12.845223,80.061148,5.0,54.0,0,0,0,0,0,0,0,0
5.0,12.825532,80.040522,5.0,54.0,0,0,0,0,0,0,0,0
5.0,12.863316,80.074038,4.0,56.0,0,0,0,0,0,0,0,0
5.0,12.898267,80.090062,2.0,58.0,0,0,0,0,0,0,0,1
5.0,12.812901,80.031885,2.0,53.0,0,0,0,0,0,0,0,0
5.0,12.820948,80.037244,2.0,52.0,0,0,0,0,0,0,0,0
6.0,12.541548,79.904638,25.0,56.0,0,0,0,0,0,0,0,0
6.0,12.948493,80.137916,23.0,55.0,0,1,1,2,0,2,1,0
6.0,12.917551,80.10793,23.0,48.0,0,0,0,2,0,0,0,0
6.0,12.691985,79.964027,23.0,55.0,0,0,0,0,0,0,0,0
6.0,12.535729,79.902371,21.0,46.0,0,0,0,0,0,0,0,0
6.0,12.886036,80.082836,20.0,53.0,0,0,0,0,0,1,0,1
6.0,12.905215,80.095234,18.0,52.0,0,0,0,0,0,1,0,1
6.0,12.890654,80.08476,18.0,55.0,0,0,0,0,0,0,0,0
