Time_hour,Lat,Long,Count,Avg_speed,Chennai_colleges,Chennai_hotels,Chennai_schools,Chennai_hospitals,Chennai_markets,Chennai_transport_stand,Chennai_religious_places,Chennai_tourist_places
6.0,13.064469,80.24783,5.0,21.0,4,10,5,7,2,4,5,1
6.0,13.034038,80.239897,2.0,24.0,10,13,2,6,0,1,4,2
7.0,13.053124,80.271742,122.0,18.0,3,3,9,4,3,3,14,4
7.0,13.057166,80.274004,92.0,17.0,4,11,11,7,4,3,12,6
7.0,13.062696,80.274187,60.0,17.0,3,18,11,9,3,5,7,4
7.0,13.053677,80.265375,40.0,18.0,3,9,9,3,3,3,6,1
7.0,13.065218,80.247813,30.0,16.0,5,10,6,6,2,4,4,2
7.0,13.071636,80.264641,25.0,21.0,3,24,6,4,1,6,11,8
7.0,12.693739,79.979194,22.0,16.0,0,0,0,0,0,0,0,0
7.0,12.51023,79.88808,18.0,25.0,0,0,0,0,0,0,0,0
7.0,12.688354,79.982801,18.0,12.0,0,0,0,0,0,0,0,0
7.0,12.697403,79.974217,16.0,21.0,0,0,0,0,0,0,0,0
7.0,13.049002,80.26494,15.0,24.0,5,7,9,4,1,3,6,0
7.0,12.977145,80.135698,14.0,23.0,0,0,0,1,0,0,0,0
7.0,13.036304,80.26784,14.0,15.0,3,2,3,4,2,3,18,0
7.0,13.070564,80.257981,13.0,27.0,5,21,9,4,1,3,7,6
7.0,12.508772,79.883273,11.0,22.0,0,0,0,0,0,0,0,0
7.0,13.060507,80.265409,11.0,22.0,4,20,9,5,3,6,4,2
7.0,12.957879,80.187071,10.0,13.0,0,0,0,1,0,0,0,1
7.0,12.970704,80.144959,10.0,13.0,0,1,0,0,0,1,0,0
7.0,13.030631,80.266805,10.0,17.0,2,1,4,2,2,5,19,1
7.0,12.98479,80.122064,9.0,23.0,0,0,0,0,0,0,0,0
7.0,12.96487,80.198588,9.0,17.0,0,0,0,0,0,0,0,0
7.0,12.68271,79.982511,9.0,24.0,0,0,0,0,0,0,0,0
7.0,12.981713,80.138297,8.0,26.0,0,0,0,0,0,0,0,0
7.0,12.983368,80.127207,8.0,21.0,0,0,0,0,0,0,0,0
7.0,12.67844,79.979914,8.0,29.0,0,0,0,0,0,0,0,0
7.0,13.007386,80.259254,8.0,24.0,0,1,6,1,0,1,1,2
7.0,12.964292,80.187992,8.0,15.0,0,0,0,0,0,0,0,2
7.0,13.06731,80.254672,7.0,33.0,5,11,8,8,2,2,3,3
7.0,12.699661,79.968404,6.0,18.0,0,0,0,0,0,0,0,0
7.0,12.998282,80.10133,6.0,23.0,0,0,0,0,0,1,0,0
7.0,12.985868,80.141919,4.0,26.0,0,0,0,0,0,0,0,0
7.0,12.967973,80.149467,3.0,17.0,0,1,0,1,0,1,0,0
7.0,12.992997,80.11402,3.0,33.0,0,0,0,0,0,0,0,0
7.0,12.965477,80.205454,3.0,24.0,0,0,0,0,0,0,0,0
7.0,12.875621,80.082901,3.0,0.0,0,0,0,0,0,2,0,1
7.0,13.049029,80.249786,3.0,27.0,7,11,6,3,0,9,8,2
7.0,12.627557,79.930026,2.0,52.0,0,0,0,0,0,0,0,0
7.0,13.00614,80.203131,2.0,42.0,1,0,0,3,2,3,1,2
7.0,13.020449,80.225198,2.0,38.0,3,0,1,2,1,3,7,2
7.0,12.76085,80.003378,2.0,16.0,0,0,0,0,0,0,0,0
7.0,12.979208,80.226503,2.0,0.0,0,0,1,2,1,1,3,0
7.0,12.743358,79.992319,2.0,44.0,0,0,0,0,0,0,0,0
7.0,13.035671,80.246193,2.0,24.0,6,11,3,9,0,7,1,2
7.0,13.025027,80.265221,2.0,21.0,1,1,5,1,1,2,16,2
7.0,13.003552,80.099467,2.0,24.0,0,0,0,0,0,1,0,0
7.0,12.668491,79.973274,2.0,37.0,0,0,0,0,0,0,0,0
8.0,12.878059,80.083425,52.0,12.0,0,0,0,0,0,2,0,1
8.0,12.937566,80.182297,9.0,21.0,0,0,0,0,0,0,0,0
8.0,12.841825,80.057242,4.0,25.0,0,0,0,0,0,0,0,0
8.0,12.921123,80.090821,4.0,19.0,0,0,0,1,0,0,0,0
8.0,12.923147,80.096913,4.0,15.0,0,0,0,1,0,0,0,0
8.0,12.925676,80.1022,3.0,20.0,0,0,0,0,0,0,0,0
8.0,12.931552,80.18169,3.0,17.0,0,0,0,0,0,0,0,0
8.0,12.906203,80.096338,2.0,10.0,0,0,0,0,0,1,0,1
8.0,12.973475,80.153402,2.0,46.0,0,0,0,0,0,1,0,3
8.0,12.930675,80.116785,2.0,18.0,1,0,0,6,0,4,0,0
9.0,12.876152,80.083209,7.0,16.0,0,0,0,0,0,2,0,1
10.0,12.876157,80.083202,9.0,7.0,0,0,0,0,0,2,0,1
11.0,12.874286,80.08428,8.0,6.0,0,0,0,0,0,2,0,1
12.0,12.876116,80.083122,14.0,9.0,0,0,0,0,0,2,0,1
13.0,12.875707,80.083001,15.0,9.0,0,0,0,0,0,2,0,1
14.0,12.875688,80.082836,9.0,10.0,0,0,0,0,0,2,0,1
15.0,12.873944,80.084847,29.0,9.0,0,0,0,0,0,2,0,1
16.0,12.878515,80.0817,46.0,9.0,0,0,0,0,0,2,0,1
16.0,12.761639,80.00377,6.0,26.0,0,0,0,0,0,0,0,0
16.0,12.927456,80.118552,4.0,24.0,1,0,0,6,0,4,0,0
16.0,12.922786,80.129838,3.0,24.0,0,0,0,1,0,0,0,0
16.0,12.688698,79.982613,2.0,38.0,0,0,0,0,0,0,0,0
17.0,13.05499,80.273664,149.0,13.0,3,7,8,6,3,2,13,8
17.0,13.059508,80.274196,117.0,15.0,4,14,11,7,4,6,11,6
17.0,13.053453,80.269254,114.0,13.0,2,5,10,4,3,3,14,3
17.0,13.068685,80.267948,75.0,17.0,1,23,9,5,2,4,10,2
17.0,13.064313,80.273936,71.0,14.0,1,16,12,9,3,4,4,3
17.0,13.055823,80.264425,43.0,19.0,4,9,8,4,3,3,3,1
17.0,13.072211,80.263761,40.0,15.0,3,26,6,4,1,7,12,6
17.0,12.97708,80.135655,33.0,16.0,0,0,0,1,0,0,0,0
17.0,13.050425,80.264097,33.0,22.0,4,9,9,3,2,3,5,1
17.0,13.054358,80.259796,29.0,15.0,7,9,7,5,2,6,5,2
17.0,13.033162,80.267684,28.0,18.0,3,1,2,3,2,5,20,1
17.0,13.062534,80.266843,26.0,14.0,2,19,13,5,3,6,7,4
17.0,13.040107,80.267904,26.0,20.0,4,4,2,4,2,3,15,0
17.0,12.972978,80.137865,22.0,13.0,0,0,0,1,0,0,0,0
17.0,12.510567,79.88506,20.0,13.0,0,0,0,0,0,0,0,0
17.0,13.026126,80.265736,19.0,19.0,1,1,4,1,1,5,17,2
17.0,12.694349,79.978579,19.0,17.0,0,0,0,0,0,0,0,0
17.0,12.983764,80.140103,19.0,19.0,0,0,0,0,0,0,0,0
17.0,12.697386,79.972095,15.0,20.0,0,0,0,0,0,0,0,0
17.0,12.99795,80.100683,15.0,17.0,0,0,0,0,0,1,0,0
17.0,12.983038,80.128645,15.0,19.0,0,0,0,0,0,0,0,0
17.0,12.687592,79.982998,14.0,16.0,0,0,0,0,0,0,0,0
17.0,13.046047,80.266507,13.0,22.0,3,6,4,4,1,3,8,0
17.0,12.701056,79.96935,13.0,26.0,0,0,0,0,0,0,0,0
17.0,13.019885,80.262239,13.0,22.0,2,0,2,1,0,2,6,1
17.0,12.965042,80.193199,12.0,14.0,0,0,0,0,0,0,0,0
17.0,12.965556,80.200195,12.0,18.0,0,0,0,0,0,0,0,0
17.0,12.964133,80.187838,11.0,14.0,0,0,0,0,0,0,0,2
17.0,13.064785,80.24779,11.0,12.0,5,10,5,7,2,4,4,2
17.0,12.939488,80.182468,7.0,24.0,0,0,0,0,0,0,0,0
17.0,12.682204,79.982289,7.0,15.0,0,0,0,0,0,0,0,0
17.0,12.955127,80.186705,6.0,18.0,0,0,0,1,0,0,0,0
17.0,12.97663,80.222429,6.0,26.0,0,0,1,2,0,2,4,0
17.0,13.006785,80.247846,6.0,17.0,3,0,3,1,0,0,1,4
17.0,12.984733,80.123899,6.0,22.0,0,0,0,0,0,0,0,0
17.0,12.72674,79.98259,5.0,33.0,0,0,0,0,0,0,0,0
17.0,12.933074,80.181794,5.0,12.0,0,0,0,0,0,0,0,0
17.0,12.971198,80.143453,4.0,14.0,0,1,0,0,0,1,0,0
17.0,13.00245,80.0986,4.0,22.0,0,0,0,0,0,1,0,0
17.0,12.965333,80.206113,4.0,28.0,0,0,0,0,0,0,0,0
17.0,13.006703,80.256965,3.0,22.0,1,1,5,2,0,1,0,2
17.0,13.063589,80.261214,3.0,22.0,3,17,7,7,3,5,6,2
17.0,13.027358,80.110936,3.0,18.0,0,0,0,0,0,0,1,0
17.0,12.968847,80.148029,3.0,11.0,0,1,0,1,0,1,0,0
17.0,12.678134,79.979764,2.0,40.0,0,0,0,0,0,0,0,0
17.0,12.70421,79.972828,2.0,52.0,0,0,0,0,0,0,0,0
17.0,12.922693,80.147729,2.0,19.0,0,0,1,1,0,0,1,1
17.0,12.964642,80.211173,2.0,20.0,0,0,0,0,0,1,0,0
18.0,13.063894,80.250114,32.0,15.0,7,12,6,8,1,6,1,3
18.0,13.070955,80.265183,28.0,21.0,2,26,6,6,1,6,11,7
18.0,13.056572,80.273904,28.0,11.0,4,11,11,7,4,2,13,6
18.0,13.062245,80.274242,24.0,12.0,3,18,11,9,3,5,8,5
18.0,13.068362,80.269104,24.0,21.0,2,18,10,6,2,4,10,3
18.0,13.053282,80.27068,15.0,12.0,2,4,9,4,4,3,13,3
18.0,13.042259,80.115087,9.0,12.0,0,0,0,0,0,0,0,0
18.0,13.067206,80.253724,6.0,21.0,5,9,7,8,2,3,3,3
18.0,12.965503,80.200128,5.0,11.0,0,0,0,0,0,0,0,0
18.0,12.510522,79.885043,4.0,15.0,0,0,0,0,0,0,0,0
18.0,13.070562,80.258124,3.0,17.0,5,21,9,4,1,3,7,6
18.0,13.063395,80.261579,2.0,8.0,3,18,6,8,3,5,6,2
19.0,12.513206,79.887001,2.0,24.0,0,0,0,0,0,0,0,0
