Weekday,Lat,Long,Count,Avg_speed
Monday,13.007027,80.204589,6,36
Monday,12.996006,80.189106,4,29
Monday,12.954298,80.142195,3,38
Monday,12.927002,80.1182,3,42
Monday,12.738446,79.988514,3,57
Monday,12.967858,80.149305,2,46
Monday,12.90789,80.097253,2,18
Monday,13.067151,80.253781,2,28
Monday,13.001848,80.198978,2,40
Monday,12.89806,80.089861,2,44
Monday,13.05248,80.251243,2,38
Monday,12.761923,80.00383,2,46
Monday,13.026364,80.232718,1,37
Monday,12.697106,79.976642,1,0
Monday,12.856345,80.069369,1,41
Monday,13.013919,80.25928,1,46
Monday,13.006592,80.24233,1,23
Monday,12.89132,80.08494,1,58
Monday,12.734226,79.985063,1,53
Monday,12.986633,80.17511,1,30
Monday,13.03466,80.111856,1,23
Monday,13.011316,80.218119,1,32
Tuesday,12.954478,80.142307,6,32
Tuesday,13.016788,80.225365,5,34
Tuesday,13.011064,80.217641,4,42
Tuesday,13.004366,80.201252,4,39
Tuesday,12.942035,80.132581,4,35
Tuesday,12.905003,80.095072,4,39
Tuesday,12.911179,80.101344,3,51
Tuesday,12.963284,80.147073,3,36
Tuesday,12.894838,80.087624,2,42
Tuesday,12.996181,80.189398,2,40
Tuesday,13.033378,80.243633,2,45
Tuesday,12.696681,79.976915,1,42
Tuesday,12.992198,80.182455,1,43
Tuesday,12.846475,80.062057,1,0
Tuesday,12.684843,79.98347,1,10
Tuesday,13.007737,80.20694,1,50
Tuesday,13.056405,80.264509,1,38
Tuesday,12.948428,80.137919,1,33
Wednesday,12.906221,80.096359,6,38
Wednesday,12.895669,80.088118,4,48
Wednesday,12.936458,80.127308,4,34
Wednesday,13.005113,80.201431,3,42
Wednesday,12.992679,80.182936,3,43
Wednesday,12.914866,80.10323,3,37
Wednesday,12.917843,80.10832,3,38
Wednesday,12.988498,80.177713,2,48
Wednesday,13.01871,80.224502,2,37
Wednesday,13.02464,80.22894,2,38
Wednesday,12.980369,80.164629,2,50
Wednesday,12.985503,80.173347,2,50
Wednesday,12.995244,80.187874,2,38
Wednesday,12.949344,80.138701,2,34
Wednesday,13.028131,80.266281,1,32
Wednesday,13.010593,80.216251,1,36
Wednesday,13.071703,80.264569,1,6
Wednesday,12.979366,80.136309,1,29
Wednesday,13.06646,80.268266,1,32
Wednesday,13.006499,80.254386,1,37
Wednesday,12.923331,80.114517,1,30
Wednesday,13.031644,80.240799,1,33
Thursday,13.001735,80.1963,7,42
Thursday,12.951462,80.140207,5,33
Thursday,12.92584,80.116953,4,38
Thursday,13.049399,80.249685,4,38
Thursday,13.007645,80.204986,3,40
Thursday,13.063709,80.250865,3,11
Thursday,12.964481,80.147544,3,29
Thursday,12.956395,80.143222,2,32
Thursday,12.90427,80.09452,2,34
Thursday,12.933845,80.124968,2,35
Thursday,12.968753,80.1498,2,27
Thursday,13.00651,80.254932,2,17
Thursday,13.02578,80.230525,2,32
Thursday,13.006816,80.240409,1,52
Thursday,12.854744,80.068378,1,58
Thursday,12.978831,80.161284,1,56
Thursday,12.658814,79.961697,1,37
Thursday,12.899344,80.091091,1,46
Thursday,12.944848,80.135237,1,49
Thursday,12.985476,80.173366,1,42
Thursday,12.917035,80.107121,1,50
Thursday,12.909619,80.099295,1,24
Thursday,13.011364,80.223472,1,45
Thursday,12.923258,80.120867,1,15
Thursday,12.840146,80.055643,1,46
Thursday,12.974478,80.154822,1,34
Friday,13.001689,80.199294,7,34
Friday,13.011192,80.223861,5,35
Friday,12.994164,80.185875,4,36
Friday,12.927219,80.118421,4,24
Friday,12.883002,80.081891,4,29
Friday,12.934056,80.125036,4,38
Friday,13.00863,80.210923,3,43
Friday,12.916812,80.106746,3,43
Friday,13.068183,80.25261,3,23
Friday,12.998489,80.19231,3,40
Friday,12.894033,80.086895,2,54
Friday,12.919713,80.110808,2,40
Friday,12.87533,80.07882,2,18
Friday,12.898111,80.090084,2,54
Friday,12.938366,80.129172,2,38
Friday,12.990671,80.18044,2,40
Friday,13.024343,80.228432,2,38
Friday,12.951521,80.140408,1,33
Friday,13.007623,80.20455,1,56
Friday,12.985271,80.172846,1,8
Friday,13.072089,80.264046,1,38
Friday,12.958703,80.1443,1,42
Friday,13.017326,80.225101,1,28
Friday,13.07595,80.234885,1,5
Friday,12.876529,80.084276,1,14
Friday,13.067991,80.247182,1,20
Saturday,12.909589,80.099308,4,42
Saturday,12.95158,80.140302,2,49
Saturday,12.92032,80.11121,1,59
Saturday,12.882738,80.081125,1,14
Saturday,13.008016,80.208437,1,49
Saturday,13.017626,80.224982,1,20
Saturday,13.002164,80.200279,1,20
Saturday,13.041913,80.247394,1,7
Saturday,13.070954,80.25849,1,17
Saturday,13.089129,80.290498,1,21
Sunday,13.09113,80.291188,1,0
