Lat,Long,Count,Avg_speed,Chennai_colleges,Chennai_hotels,Chennai_schools,Chennai_hospitals,Chennai_markets,Chennai_transport_stand,Chennai_religious_places,Chennai_tourist_places
13.05499,80.273664,295.0,15.0,3,7,8,6,3,2,13,8
13.053397,80.269287,224.0,15.0,2,5,10,4,3,3,14,3
13.06076,80.27429,206.0,15.0,3,15,11,9,3,6,9,6
12.877912,80.08357,203.0,10.0,0,0,0,0,0,2,0,1
13.068837,80.267663,123.0,18.0,1,22,9,5,2,4,10,3
13.065411,80.273794,121.0,16.0,1,16,11,9,3,5,7,4
13.072211,80.263761,81.0,18.0,3,26,6,4,1,7,12,6
13.065218,80.247813,79.0,15.0,5,10,6,6,2,4,4,2
13.053099,80.263905,67.0,21.0,4,10,9,3,2,4,6,2
13.064232,80.2675,53.0,18.0,3,20,11,6,4,6,8,3
12.97708,80.135655,48.0,18.0,0,0,0,1,0,0,0,0
13.05763,80.26499,47.0,21.0,4,10,7,6,3,4,5,1
12.511432,79.885416,47.0,18.0,0,0,0,0,0,0,0,0
13.036304,80.26784,45.0,17.0,3,2,3,4,2,3,18,0
12.69432,79.978689,44.0,17.0,0,0,0,0,0,0,0,0
12.688354,79.982801,39.0,17.0,0,0,0,0,0,0,0,0
13.067799,80.252297,36.0,13.0,4,9,7,7,2,3,2,3
13.029248,80.266234,35.0,17.0,1,1,5,1,2,5,17,1
12.697386,79.972095,33.0,19.0,0,0,0,0,0,0,0,0
13.048093,80.2659,31.0,22.0,4,5,6,4,1,4,6,0
13.04154,80.268169,28.0,19.0,4,4,2,5,1,3,10,0
12.982466,80.13959,28.0,22.0,0,0,0,0,0,0,0,0
12.972978,80.137865,28.0,13.0,0,0,0,1,0,0,0,0
12.96487,80.198588,27.0,16.0,0,0,0,0,0,0,0,0
13.057133,80.257141,25.0,15.0,10,11,9,7,2,7,3,3
12.965274,80.19202,25.0,13.0,0,0,0,0,0,0,0,0
13.062694,80.262512,25.0,16.0,3,19,5,7,3,5,6,1
13.071539,80.259111,24.0,23.0,4,27,8,5,1,5,10,6
12.98344,80.126182,24.0,19.0,0,0,0,0,0,0,0,0
12.99795,80.100683,22.0,19.0,0,0,0,0,0,1,0,0
12.508924,79.889384,21.0,20.0,0,0,0,0,0,0,0,0
12.963434,80.187627,20.0,16.0,0,0,0,0,0,0,0,2
12.939488,80.182468,20.0,22.0,0,0,0,0,0,0,0,0
12.979275,80.129411,20.0,19.0,0,0,0,1,0,0,0,0
12.701056,79.96935,20.0,25.0,0,0,0,0,0,0,0,0
12.683662,79.983067,19.0,16.0,0,0,0,0,0,0,0,0
12.958174,80.187052,19.0,11.0,0,0,0,1,0,0,0,1
13.02249,80.263563,18.0,17.0,2,1,5,2,0,2,7,2
13.065333,80.2572,18.0,23.0,4,13,8,9,1,3,2,4
12.952428,80.186268,16.0,14.0,0,0,0,1,0,0,1,0
12.965649,80.20443,16.0,23.0,0,0,0,0,0,0,0,0
13.006617,80.255654,15.0,22.0,1,1,6,3,0,1,0,2
12.970704,80.144959,15.0,13.0,0,1,0,0,0,1,0,0
13.042259,80.115087,14.0,15.0,0,0,0,0,0,0,0,0
12.67844,79.979914,13.0,28.0,0,0,0,0,0,0,0,0
12.984628,80.121685,13.0,24.0,0,0,0,0,0,0,0,0
12.986305,80.142041,13.0,19.0,0,0,0,0,0,0,0,0
12.933074,80.181794,12.0,17.0,0,0,0,0,0,0,0,0
13.01806,80.260915,11.0,23.0,2,0,3,1,0,0,5,2
12.76085,80.003378,10.0,23.0,0,0,0,0,0,0,0,0
13.006785,80.247846,10.0,16.0,3,0,3,1,0,0,1,4
12.967973,80.149467,9.0,17.0,0,1,0,1,0,1,0,0
13.03313,80.243284,9.0,24.0,7,8,2,8,0,5,2,2
12.927456,80.118552,8.0,25.0,1,0,0,6,0,4,0,0
12.906203,80.096338,7.0,10.0,0,0,0,0,0,1,0,1
12.72674,79.98259,7.0,40.0,0,0,0,0,0,0,0,0
13.00245,80.0986,7.0,23.0,0,0,0,0,0,1,0,0
12.97605,80.221548,7.0,32.0,0,0,1,2,0,2,4,0
12.922786,80.129838,6.0,19.0,0,0,0,1,0,0,0,0
12.741963,79.991226,6.0,27.0,0,0,0,0,0,0,0,0
13.030823,80.111182,6.0,27.0,0,0,0,0,0,0,1,0
13.035599,80.112142,6.0,24.0,0,0,0,0,0,0,1,0
13.030686,80.239312,6.0,23.0,7,4,1,6,0,0,2,2
12.946009,80.183518,6.0,28.0,0,0,0,1,0,0,1,0
12.96474,80.21055,6.0,20.0,0,0,0,0,0,1,0,0
13.049029,80.249786,5.0,28.0,7,11,6,3,0,9,8,2
12.841825,80.057242,5.0,24.0,0,0,0,0,0,0,0,0
13.039618,80.247158,5.0,19.0,6,14,3,6,0,7,4,2
12.949718,80.140031,5.0,30.0,0,1,1,1,0,2,1,0
12.922535,80.147754,5.0,11.0,0,0,1,1,0,0,1,1
12.992997,80.11402,5.0,27.0,0,0,0,0,0,0,0,0
12.923147,80.096913,5.0,14.0,0,0,0,1,0,0,0,0
12.70421,79.972828,4.0,55.0,0,0,0,0,0,0,0,0
12.515903,79.889652,4.0,30.0,0,0,0,0,0,0,0,0
12.921123,80.090821,4.0,19.0,0,0,0,1,0,0,0,0
12.925676,80.1022,4.0,17.0,0,0,0,0,0,0,0,0
12.919579,80.181117,4.0,16.0,0,0,0,1,0,0,0,0
12.927228,80.126711,3.0,11.0,1,0,0,1,0,3,0,0
12.538237,79.903923,3.0,53.0,0,0,0,0,0,0,0,0
12.979208,80.226503,3.0,9.0,0,0,1,2,1,1,3,0
12.924116,80.115007,3.0,45.0,1,0,0,6,0,4,0,0
13.007693,80.20684,3.0,29.0,0,0,0,2,1,6,2,2
12.973255,80.153068,3.0,43.0,0,1,0,0,0,1,0,3
12.936069,80.126901,3.0,31.0,0,0,0,0,0,3,0,0
12.963643,80.216215,3.0,28.0,0,0,0,0,0,2,0,0
