Lat,Long,Count,Avg_speed
13.002164,80.200279,25.0,37.0
13.007027,80.204589,23.0,42.0
12.906221,80.096359,22.0,34.0
12.951521,80.140408,21.0,37.0
12.926176,80.117378,20.0,37.0
12.99638,80.189613,17.0,37.0
12.935268,80.126412,17.0,37.0
12.956839,80.143373,17.0,35.0
12.910776,80.10093,16.0,37.0
12.89718,80.089396,16.0,48.0
12.999838,80.193964,15.0,36.0
13.015495,80.225057,14.0,37.0
12.914866,80.10323,14.0,41.0
13.00863,80.210923,13.0,43.0
13.011694,80.21946,13.0,33.0
13.020997,80.225503,13.0,37.0
12.993886,80.185348,12.0,34.0
12.879044,80.080572,12.0,29.0
13.067151,80.253781,12.0,16.0
12.892748,80.086061,12.0,50.0
12.986633,80.17511,11.0,36.0
12.917843,80.10832,11.0,40.0
13.02578,80.230525,10.0,33.0
13.049399,80.249685,10.0,36.0
12.966779,80.148831,10.0,36.0
12.944848,80.135237,10.0,39.0
12.922885,80.113788,10.0,41.0
12.990671,80.18044,9.0,41.0
12.931761,80.122845,9.0,39.0
13.072967,80.261541,8.0,22.0
13.064142,80.249317,8.0,12.0
12.693969,79.978977,7.0,25.0
12.88378,80.082166,7.0,36.0
13.044476,80.247891,7.0,28.0
13.032642,80.242692,7.0,35.0
12.961327,80.145958,7.0,37.0
13.061608,80.254414,6.0,5.0
13.00651,80.254932,6.0,24.0
13.006816,80.240409,6.0,34.0
12.854226,80.067776,6.0,53.0
12.849732,80.064495,6.0,40.0
12.978831,80.161284,6.0,52.0
13.067032,80.270252,6.0,30.0
13.054357,80.253847,6.0,36.0
12.97293,80.152645,6.0,42.0
12.689776,79.982197,5.0,27.0
13.018955,80.262686,5.0,21.0
13.010165,80.227896,5.0,34.0
13.054856,80.264181,4.0,28.0
13.013919,80.25928,4.0,46.0
12.736035,79.986781,4.0,51.0
12.845348,80.061348,4.0,35.0
12.684843,79.98347,4.0,24.0
12.983578,80.170207,4.0,38.0
12.859688,80.072266,4.0,51.0
12.873908,80.077966,4.0,56.0
12.724588,79.982251,3.0,46.0
12.761923,80.00383,3.0,44.0
12.656022,79.953417,3.0,53.0
12.977196,80.135671,3.0,29.0
12.512485,79.886334,3.0,45.0
12.697403,79.974137,3.0,20.0
12.9191,80.179357,3.0,44.0
12.528537,79.898806,2.0,55.0
12.840146,80.055643,2.0,47.0
13.027923,80.235403,2.0,35.0
12.669012,79.973881,2.0,44.0
12.659658,79.96366,2.0,50.0
13.062845,80.27419,2.0,16.0
12.550463,79.906396,2.0,56.0
13.028131,80.266281,2.0,18.0
12.78867,80.016244,2.0,58.0
13.089129,80.290498,2.0,26.0
12.867262,80.07556,2.0,58.0
12.922898,80.152692,2.0,31.0
12.739698,79.9897,2.0,55.0
12.795946,80.020812,1.0,58.0
12.777161,80.010542,1.0,57.0
12.963634,80.215561,1.0,32.0
12.977311,80.223507,1.0,43.0
12.769793,80.006995,1.0,54.0
12.675987,79.978098,1.0,16.0
13.03466,80.111856,1.0,23.0
12.981948,80.139458,1.0,32.0
12.607859,79.92156,1.0,16.0
13.07595,80.234885,1.0,5.0
12.6996,79.968924,1.0,32.0
12.922535,80.137584,1.0,17.0
12.630791,79.931575,0.0,0.0
12.747127,79.995694,0.0,0.0
12.814323,80.032604,0.0,0.0
12.521421,79.894773,0.0,0.0
12.944451,80.183072,0.0,0.0
12.710426,79.97812,0.0,0.0
13.049052,80.149902,0.0,0.0
13.169853,80.239518,0.0,0.0
12.94862,80.199537,0.0,0.0
12.927896,80.079004,0.0,0.0
13.064794,80.172247,0.0,0.0
12.649203,79.941124,0.0,0.0
12.830388,80.045325,0.0,0.0
12.58323,79.919283,0.0,0.0
13.152589,80.303777,0.0,0.0
12.624598,79.928901,0.0,0.0
12.662781,79.967752,0.0,0.0
12.616134,79.92609,0.0,0.0
13.104685,80.271207,0.0,0.0
12.703409,79.971568,0.0,0.0
12.936944,80.082781,0.0,0.0
12.929868,80.113879,0.0,0.0
12.984999,80.123421,0.0,0.0
12.992091,80.114919,0.0,0.0
13.006124,80.100374,0.0,0.0
13.056582,80.097428,0.0,0.0
12.996479,80.108591,0.0,0.0
12.818983,80.036111,0.0,0.0
12.999266,80.096942,0.0,0.0
12.927144,80.108906,0.0,0.0
12.924515,80.09909,0.0,0.0
12.803111,80.025596,0.0,0.0
13.044642,80.266796,0.0,0.0
12.835349,80.050841,0.0,0.0
13.076235,80.202793,0.0,0.0
13.069377,80.181028,0.0,0.0
13.046573,80.280281,0.0,0.0
13.033701,80.277422,0.0,0.0
13.021569,80.270718,0.0,0.0
12.981468,80.23351,0.0,0.0
12.965566,80.190655,0.0,0.0
12.92081,80.167925,0.0,0.0
12.751602,79.999102,0.0,0.0
12.922859,80.161705,0.0,0.0
12.931066,80.181607,0.0,0.0
12.824904,80.040068,0.0,0.0
12.953051,80.165389,0.0,0.0
12.79133,80.218721,0.0,0.0
12.928306,80.199418,0.0,0.0
