Alert,Date,Time,Lat,Long,Vehicle,Speed
cas_ldw,2022-06-01,05:36:36,12.887403,80.083412,2846,48
cas_ldw,2022-06-01,05:36:47,12.892586,80.085794,2846,58
cas_ldw,2022-06-01,05:37:04,12.894932,80.087564,2846,57
cas_ldw,2022-06-01,05:37:31,12.898267,80.090062,2846,49
cas_ldw,2022-06-01,05:38:08,12.901594,80.092538,2846,58
cas_ldw,2022-06-01,05:38:21,12.903877,80.094272,2846,54
cas_ldw,2022-06-01,05:38:41,12.906194,80.095953,2846,58
cas_ldw,2022-06-01,05:40:21,12.915664,80.103135,2846,62
cas_ldw,2022-06-01,05:41:17,12.918451,80.109058,2846,51
cas_ldw,2022-06-01,05:41:25,12.919239,80.110028,2846,47
cas_ldw,2022-06-01,05:41:58,12.923053,80.114106,2846,57
cas_hmw,2022-06-01,05:43:03,12.92877,80.119872,2846,42
cas_hmw,2022-06-01,05:44:06,12.932561,80.123647,2846,38
cas_hmw,2022-06-01,05:45:13,12.936615,80.127451,2846,27
cas_ldw,2022-06-01,06:04:38,12.957073,80.14356,2846,39
cas_ldw,2022-06-01,06:09:56,12.980898,80.165679,2846,53
cas_ldw,2022-06-01,06:10:08,12.980898,80.165679,2846,53
cas_ldw,2022-06-01,06:13:08,12.992264,80.182428,2846,54
cas_ldw,2022-06-01,06:19:23,13.010352,80.215922,2846,50
cas_ldw,2022-06-01,06:19:42,13.010352,80.215922,2846,50
cas_hmw,2022-06-01,06:20:31,13.012897,80.221989,2846,49
cas_ldw,2022-06-01,06:24:57,13.024305,80.228471,2846,0
cas_hmw,2022-06-01,06:27:15,13.031173,80.239814,2846,28
cas_hmw,2022-06-01,06:30:10,13.039036,80.246748,2846,17
cas_hmw,2022-06-01,06:30:49,13.042432,80.247439,2846,37
cas_hmw,2022-06-01,06:32:21,13.053062,80.251879,2846,56
cas_pcw,2022-06-01,06:34:05,13.060628,80.25437,2846,42
cas_fcw,2022-06-01,06:34:09,13.061608,80.254414,2846,26
cas_fcw,2022-06-01,06:34:11,13.061608,80.254414,2846,26
cas_hmw,2022-06-01,07:12:09,13.071684,80.259156,2846,23
cas_hmw,2022-06-01,07:13:04,13.073034,80.261821,2846,20
cas_hmw,2022-06-01,07:15:40,13.068967,80.267456,2846,28
cas_pcw,2022-06-01,07:17:05,13.066903,80.273656,2846,18
cas_pcw,2022-06-01,07:18:38,13.062345,80.274259,2846,23
cas_pcw,2022-06-01,07:19:59,13.061044,80.274416,2846,9
cas_pcw,2022-06-01,07:21:40,13.056923,80.273946,2846,25
cas_hmw,2022-06-01,07:29:09,13.05436,80.258608,2846,42
cas_hmw,2022-06-01,07:29:25,13.054712,80.254456,2846,21
cas_hmw,2022-06-01,07:29:33,13.053204,80.252145,2846,46
cas_pcw,2022-06-01,07:30:19,13.049029,80.249786,2846,39
cas_hmw,2022-06-01,07:32:45,13.040589,80.24727,2846,34
cas_hmw,2022-06-01,07:32:53,13.03978,80.247116,2846,29
cas_hmw,2022-06-01,07:32:58,13.03978,80.247116,2846,29
cas_ldw,2022-06-01,07:33:20,13.036987,80.246466,2846,54
