Long,Lat,Name
80.2527063,13.0543592,Chennai National College
80.2429175,13.120975,BEST College
80.2235071,12.9216693,Chennai College of Arts and Science
80.2815139,13.0589992,Presidency College Chennai
80.2338051,13.0643915,Loyola College
80.283956,13.1166734,"Sir Theagaraya College,Chennai."
80.2122213,13.0737886,Dwaraka Doss Goverdhan Doss Vaishnav College
80.2590183,13.0541684,The New College
80.1722695,13.0799397,Mar Gregorios college
80.257155,13.0626482,Ethiraj College For Women
80.2644419,13.0407546,Ramakrishna Mission Vivekananda College (Autonomous)
80.142792,13.0467808,Alpha Arts and Science College
80.2790355,13.0445189,Queen Mary's College
80.1692936,13.0824844,College
80.2503714,13.0555099,M.O.P. Vaishnav College for Women
80.2770494,13.0333601,Madras Community College
80.216244,13.053945,Best College
80.2491841,13.069992,Women's Christian College
80.2340761,13.0417591,Chennai
80.1305169,13.060118,Sindhi College
80.1508399,13.0275262,Sivet College
80.2629704,13.078797,Chennai
80.2533559,13.0463406,Stella Maris College
80.2808802,13.120393,K.C.S.Kasi Nadar College of Arts & Science
80.2272253,13.0540581,Meenakshi College for Women
80.210416,13.051975,College
80.2393422,13.0304661,Government Arts College for Men
80.2707871,13.0826914,Vels University college chennai
80.214774,13.0387541,Clg
80.2857973,13.12068,Chennai
80.2534659,13.0710895,Bridge International College
80.2257943,13.0125246,Annai Veilankannis College Of Arts And Science
80.239969,13.031303,From SIET College At Chennai To Choolaimedu
80.217696,13.0854966,C Kandaswami Naidu College for Men
80.1970152,13.0767404,ST.THOMAS COLLEGE OF ARTS AND SCIENCE
80.2223779,13.0895219,Chennai Corporation Community College
80.2229478,13.0140397,WLCI College Chennai
80.2525644,13.1330482,Sree Muthukumaraswamy College
80.2123503,13.0872082,Apollo Group of Colleges
80.2234174,12.899273,Chennai
80.2757917,13.0270133,Arts And Science Colleges
80.2314437,13.0754665,St. George’s Arts & Science college
80.2485049,13.0049667,Patrician Arts College
80.1694924,13.1227022,Annai Violet Arts and Science College
80.2097802,13.0420604,Stella Matutina College Of Education
80.2600751,13.1168811,Dr. Ambedkar Government Arts College
80.1953913,13.0857958,CollegeSignal
80.2079588,12.9300124,Indian Harvard Arts And Science College
80.2363137,13.0110816,Swarnesh’s college
80.2590082,13.0538916,My college
80.2398692,12.9213318,KCG College of Technology
80.227249,13.0540649,MEENAAKSHI COLLAGE GATE
80.2374892,13.0790126,Don Bosco Arts & Science College
80.1825205,13.1088659,Bhaktavatsalam Memorial College for Women
80.1979236,13.0475775,Avichi College Of Arts and Science
80.2079783,13.07705,Arts And Science Colleges
80.303154,13.1680593,L N Govt College
80.1979218,13.0793731,IOB Staff College
80.2331819,13.0741357,Pachaiyappa's College
80.1834753,13.0559278,Act College Of Education
80.2835902,13.0914887,Sri Kanyaka Parameswari Arts and Science College for Women
80.2707871,13.0826914,jaya engineering college
80.2204923,12.8662594,Jeppiaar Engineering College
80.2334488,13.1593235,Agarsen College Main Gate
80.2408252,13.0997808,Kakethamelath College
80.1945313,13.0066565,DMI COLLEGE OF EDUCATION
80.1844804,13.0732826,sri annai velankanni collage of engineering
80.1899779,13.0409047,Prince Shri Venkateshwara Arts And Science College
80.2393344,13.0293855,"Government Arts College, Nandanam, Chennai, Tamil Nadu 600035"
80.1981877,13.0859438,SSI IAI COLLEGE
80.2262855,12.8635902,Agni College Of Technology
80.2337578,13.0745704,Pachaiyappas College Arts Block
80.2105255,13.0799454,Anna Adarsh College for Women
80.2214666,13.0396319,Apollo Group Of Colleges
80.234483,13.062781,Gutters
