Long,Lat,Name
80.2451383,13.0401407,Grand Chennai by GRT Hotels
80.2568954,13.0457112,Welcomhotel By ITC Hotels
80.265051,13.0767592,Ramada by Wyndham Chennai Egmore
80.2486854,13.0430452,Hyatt Regency Chennai
80.2611286,13.0456244,Savera Hotel
80.2170968,12.991968,BOULEVARD by Design Hotel Chennai
80.2377867,13.0348881,S Hotels Chennai
80.2272486,12.8755444,Four Points by Sheraton Chennai OMR
80.2287713,12.8996297,Aloft Chennai OMR - IT Expressway
80.258455,13.067157,"Ambassador Pallava Hotel, Chennai"
80.2246885,13.0111566,"Lemon Tree Hotel, Chennai"
80.2529337,12.9799533,"Holiday Inn Chennai Omr It Expressway, an IHG Hotel"
80.2736566,13.017048,The Leela Palace Chennai - Seaside Modern Palace Hotel
80.2296428,12.8311602,ibis Chennai Sipcot
80.255744,13.0670499,Radisson Blu Hotel Chennai City Centre
80.2502249,13.0530084,The Park Chennai
80.2453104,13.0623333,The Belstead Hotel
80.2323428,13.0371553,THE K11 HOTELS - CHENNAI
80.2448294,13.0394957,H Hotel Chennai
80.2478123,13.0582596,"Taj Coromandel, Chennai"
80.230078,12.83115,Novotel Chennai Sipcot
80.2629335,13.0587535,E Hotel Chennai
80.2111582,13.056606,Ginger Chennai (Vadapalani)
80.2278056,12.9053742,"Vivanta Chennai, IT Expressway"
80.2616561,13.0629468,"Taj Connemara, Chennai"
80.2617995,13.07707,Hotel Chennai Gate
80.1731778,12.9518485,THE CHENNAI INN
80.2702819,13.0815933,Grand Cascade Hotels
80.2566801,13.0573297,ibis Chennai City Centre
80.2407409,13.0449141,"The Residency, Chennai"
80.243914,13.0338563,"The Raintree, Anna Salai"
80.229152,12.9052621,ibis Chennai OMR
80.2627533,13.075639,Hotel Pandian
80.239613,13.03738,Raj Palace
80.2478248,13.0460041,Courtyard by Marriott Chennai
80.2284618,12.9057141,Novotel Chennai OMR
80.2674095,13.0804606,Royal Regency Lifotel by Crossway
80.1987746,13.0696678,Hotel Chennai Deluxe
80.2695134,13.0806804,Hotel Chennai Grand
80.2774657,13.0599413,Le Stay inn
80.2666612,13.0466538,Regenta Central Deccan Chennai
80.1931781,12.9892686,"FabHotel Sri Krishna Residency - Hotel Near Chennai International Airport, Chennai"
80.2625218,13.0774064,Hotel Chandra Park
80.2591272,13.0753827,Marina Inn
80.2371213,13.0413013,Treebo Trend U Hotels Chennai
80.2740884,13.0625102,Hotel Thaj Regency
80.2699094,13.0839259,Sheraton Grande Hotel Chennai
80.2760828,13.0845798,CITY TOWER (unit of Sree Ambika Hospitality)
80.2699446,13.0834077,"Hotel White Mount, Rama Pillai Street, Periyamet, Chennai, Tamil Nadu"
80.2743535,13.062247,Super OYO Collection O G Silver Hotels Mount Road
80.2446649,13.0592811,UPAR Hotels Nungambakkam
80.2418564,12.9908588,"Ginger Chennai (Tharamani, IITM)"
80.2593333,13.0442894,Raj Park Hotel Chennai
80.2621209,13.045397,New Woodlands Hotel
80.1487686,12.9656703,HOTEL SAI KRISH GRAND
80.2701572,13.066684,The Lotus Hotel Sameera
80.2437126,13.0640204,"Park Avenue Hotel, Chennai"
80.2372721,12.9421938,Park Plaza Chennai OMR
80.235412,13.0394671,Hotel Grand Galaxy - T Nagar
80.2704169,13.0817663,Hotel Greens Gate
80.2703504,13.0818629,Grand Elegant
80.270493,13.0832302,Hotel Sand Silver
80.2742547,13.0631969,The Park Royal Hotel (Chennai)
80.2688939,13.0806264,Capital O Emarald Hotel Near Albert Theatres
80.2534268,13.07078,Treebo Trend Nestlay Casa - Hotel in Egmore
80.2464057,13.0462864,GT Grande Hotel-Near US Consulate & Singapore Consulate
80.2696225,13.0839123,Hotel SRM Central Park
80.2638207,13.0780726,Fortel
80.2705725,13.0688714,Budget Hotels in Chennai
80.2469401,13.040584,Hotel Planet Mount
80.252661,13.028685,"The Raintree, St Mary's Road"
80.2700317,13.0826144,GRAND OLIVER
80.2271949,12.8759079,Fairfield by Marriott Chennai OMR
80.2326477,12.9343945,"Venture Park, OMR, Thoraipakkam, Chennai"
80.269828,13.083942,Stay Court (Business Class Hotel)
80.2674943,13.0816791,Hotel Shriram
80.2698089,13.0867883,Hotel Metro Manor
80.258997,13.0677202,Vestin Park Hotel
80.2502386,12.9910934,"Taj Wellington Mews, Chennai"
80.2689739,13.0805944,Emarald Hotel & Resorts
80.277063,13.083833,OYO Sornam International Stringer St Near Albert Theatres
80.2594602,13.0795707,YWCA International Guest House Chennai
80.2471903,13.0418484,GREEN TREE HOTEL
80.2700799,13.0833982,Orion Residency
80.2739439,13.0630209,OYO Co Hotel Near Marina Beach
80.2692964,13.0836678,Hotel Park Tower
80.2696813,13.0839844,Hotel White Park
80.2656469,13.0602835,Hotel PINK
80.2675616,13.082398,SKB Hotel Grand Days
80.2576735,13.0350511,"Rainbow Boutique Hotel, Chennai"
80.2689698,13.080603,JS Grand Residency
80.2577393,13.0645231,Hotel Kanchi
80.2389327,13.0411631,Urvashi Residency - T.Nagar
80.2755562,13.0886978,Hotel Blue Star International
80.248269,13.053277,The Kings Park Grand-Near US Consulate & US Biometrics
80.2429493,13.066604,Harrisons Hotel
80.2551234,13.0748226,Palace Lodge & Hotel Egmore
80.2703577,13.0820324,The Hydel Park ( Business Class Hotel)
80.2448958,13.0493768,Hotel Chennai Stays T Nagar
80.2595381,13.0071794,Esthell Hotel
80.1514629,13.0658931,M Stays
80.1900641,12.9959108,Collection O Hotel Vijay Park Near Chennai International Airport
80.2674654,13.0814869,Hotel Joyce
80.2665966,13.0666193,Townhouse 1154 Mount Road Rich Mount Near Marina Beach
80.2705556,13.0827778,"Central Residency , Chennai"
80.277266,13.0649051,GRAND VIEW RESIDENCY CHENNAI
80.2669255,13.0825208,Hotel Adithya
80.2663709,13.0294619,Treebo Trend Palm Tree
80.2686582,13.0805195,Collection O 30111 Collection O 273 Hotel Everest Poonamallee High Rd
80.2313649,13.0359166,Shree Inn Hotel
80.2578771,13.0752391,Egmore Hotel Krishna Park
80.2772987,13.0638105,Hotel Grand Galaxy
80.2555915,13.0788282,Collection O Hotel Sudha Inn Near Sangam Cinemas
80.2643933,13.0765044,Hotel Park Plaza
80.2366972,13.0419517,Krishna International Pondy Bazaar
80.2642296,13.062305,La Woods Hotel
80.2684158,13.080661,Townhouse 430 Everest Hotel Near Chennai Central
80.2703049,13.083697,OYO 15101 Hotel Royal Paris
80.2759842,13.0853102,Hotel Santhi Bhavan
80.229972,13.0734392,Hotel
80.2624525,13.0758452,Masa Hotel
80.267598,13.081029,SPOT ON 38565 Hotel Surya Thiruvengadam St
80.2050062,13.0173581,"Mansha Regency, Chennai"
80.2783636,13.0836502,HOTEL GMT CENTRE
80.2678896,13.0819325,Hotel Kurinchi
80.2581321,13.0751545,Udipi Home Egmore
80.2735928,13.0423159,"FabExpress P.A.S Residency - Hotel in Mylapore, Chennai"
80.2276418,12.8403763,Ginger Chennai OMR
80.2703788,13.0817389,Central Gate
80.2704209,13.0835585,Horizon inn
80.265981,13.0851914,"FabHotel Garden City - Hotels in Periyamet, Chennai"
80.2659,13.08327,"FabHotel The Green City - Hotel in Periyamet, Chennai"
80.2675581,13.0819941,Hotel Bharath
80.2734894,13.0627145,The Mount Riviera
80.2049119,13.0251825,Chennai Stays
80.2698811,13.082995,SPOT ON Central Inn
80.1844001,13.0199716,R Hotel
80.2689833,13.0809195,Samudra Inn
80.2659443,13.0848276,The Green City
80.2569303,13.0457759,The Residency
80.2640144,13.0615371,"Taj Club House, Chennai"
80.266654,13.066628,OYO Rich Inn Near Marina Beach
80.2770628,13.0838333,Hotel AKMG Towers - Chennai
80.2717604,13.066436,Hotel Royal Grande
80.2904102,13.0949472,Gem Palace
80.2157702,13.0549021,HOTEL CHENNAI KINGS
80.2556918,13.0672387,Hotel
80.2703209,13.0663994,The mount city near us consulate
80.275864,13.085356,OYO Flagship 40128 Grand Park Hotel
80.2698149,13.0809235,Aum Karthikeya Residency
80.266571,13.0664949,"FabExpress Royal Park - Hotel in Anna Salai, Chennai"
80.267246,13.0660126,Hotel Ammu Palace
80.2622922,13.0770935,Raj Residency Hotel
80.2900225,13.0923195,"FabHotel Central Palace - Hotel in Parry's Corner, Chennai"
80.262802,13.0772966,Hotel Imperial
80.2123228,13.0525228,Bhimaas Temple Tree Hotel
80.2702634,13.0842516,Fanar Residency
80.2685515,13.0534022,OYO Townhouse 1060 G SILVER HOTELS NEAR US EMBASSY
80.276765,13.086462,OYO 42096 Hotel Kantha
80.2705482,13.0815799,Castle Residency
80.2674379,13.0807684,Collection O 812359 Golden Tower
80.2682701,13.0806121,Hotel SRR Grand
80.242199,13.044695,"FabHotel Skyry - Hotel in T Nagar, Chennai"
80.270361,13.0822572,SPOT ON Grand Residency
80.2701727,13.0814307,Greens Suite (Business Class Hotel)
80.1396489,13.0370059,Hotel Comfort Park
80.2679659,13.081652,OYO SUN PARK INN Chennai Central
80.2659902,13.0851935,OYO Townhouse 1129 Green City Near Albert Theatres
80.268747,13.0847931,Hotel Deccan
80.2418352,12.951399,Essentia Premier Hotel Chennai
80.2421256,13.0657995,Pharos Hotels
80.267366,13.081256,OYO Flagship 15018 Golden Manor Chennai Central
80.260739,13.0868555,OYO The Park View Inn
80.1881362,13.0872913,"FabExpress Le Royal Inn - Hotels in Anna Nagar, Chennai"
80.2656553,13.060283,HOTEL SPN
80.2288172,12.8996125,Hotel Halez
80.2404462,13.0401688,"FabExpress U Hotel - Hotel in Saligramam, Chennai"
80.2757816,13.0850079,Hotel Rajdhani Guest House
80.24002,13.03846,"Blossoms Service Apartment - Hotel in T Nagar, Chennai"
80.2705703,13.0813432,Silver Gate
80.2120521,13.0550197,Metro Park
80.2707291,13.0816975,S R Residency
80.2428714,13.0564501,Park Elanza
80.2271903,12.9003695,Citadines OMR Chennai
80.2702783,13.0814141,Sri Sai Park
80.270481,13.082205,SPOT ON 62657 Winter Gate
80.2759527,13.0858333,City home
80.258016,13.056556,"FabHotel Sea Queen Residency - Hotels in Royapettah, Chennai"
80.2129866,13.0605453,OYO Arunachala Guest House Near PVR SPI Palazzo Chennai
80.2669451,13.0815556,Hotel Geethalayam
80.2707871,13.0826914,ABRIGO Hotels and Resorts Pvt. Ltd
80.2689564,13.0810913,arunachala inn
80.2858084,13.0887052,Hotel Thoiba Residency
80.2702717,13.0841535,Hotel Zain Grande
80.2333604,12.8930345,FabHotel Holiday Stay
80.1367559,12.9550157,Accord Chrome
80.2515064,13.0616816,سكن تشناي مدراس
80.2611859,13.0771152,Hotel Ramprasad
80.2635264,13.0777064,OYO Flagship 46738 Egmore Shelters
80.2756263,13.0850978,Vikram Hotel
