Long,Lat,Name,,,,,,,,,,,,,,,,,,,,,,
80.2282039,12.9250181,Orchids The International School,,,,,,,,,,,,,,,,,,,,,,
80.266232,13.001774,St. John's English School and Junior College (CBSE School In Chennai),,,,,,,,,,,,,,,,,,,,,,
80.2687157,13.0376928,Vidya Mandir Senior Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.1998035,13.0400939,Padma Seshadri Bala Bhavan Senior Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2689997,13.0174809,Chettinad Vidyashram,,,,,,,,,,,,,,,,,,,,,,
80.2609402,13.0100604,Sri Sankara Senior Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2517563,13.0120738,St.Patrick'S Anglo-Indian Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2591646,13.0378829,M.C.T.M. Chidambaram Chettyar International School,,,,,,,,,,,,,,,,,,,,,,
80.245899,13.010869,Unity Public School.,,,,,,,,,,,,,,,,,,,,,,
80.2550616,13.0704208,Don Bosco Mat. Hr. Sec. School,,,,,,,,,,,,,,,,,,,,,,
80.2355234,13.0743624,Maharishi Vidya Mandir Senior Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2579949,13.0499506,National Public School,,,,,,,,,,,,,,,,,,,,,,
80.2370681,13.0700356,MCC PUBLIC SCHOOL,,,,,,,,,,,,,,,,,,,,,,
80.2535131,12.9979322,The Hindu Senior Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2565866,13.0502709,D.A.V. Boys Senior Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.1899176,13.0889547,Chennai Public School,,,,,,,,,,,,,,,,,,,,,,
80.2589773,13.0052046,Sishya School,,,,,,,,,,,,,,,,,,,,,,
80.2303882,13.012971,The Indian Public School,,,,,,,,,,,,,,,,,,,,,,
80.1690781,13.0367069,Pon Vidyashram Group of Senior Secondary Schools,,,,,,,,,,,,,,,,,,,,,,
80.1684329,12.9651526,"Vels Vidyashram, Pallavaram",,,,,,,,,,,,,,,,,,,,,,
80.1993632,12.9247222,AKG Public School,,,,,,,,,,,,,,,,,,,,,,
80.1684329,12.9651526,"Vels Vidyashram, Pallavaram",,,,,,,,,,,,,,,,,,,,,,
80.2652835,13.030978,P S Senior Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2608348,13.0546587,PN Dhawan Adarsh Vidyalaya Matric Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.1950018,13.0235553,"Army Public School, Chennai",,,,,,,,,,,,,,,,,,,,,,
80.2239114,12.8476202,"Mount Litera Zee School, OMR, Chennai",,,,,,,,,,,,,,,,,,,,,,
80.2416253,13.0411086,Holy Angels Anglo Indian Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2755877,13.0599073,The Hindu Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2459241,13.0820462,C.S.I. Bain School,,,,,,,,,,,,,,,,,,,,,,
80.2389701,13.0809233,Chinmaya Vidyalaya,,,,,,,,,,,,,,,,,,,,,,
