Long,Lat,Name
80.2061841,12.8978488,Gleneagles Global Health City I Best Multi Speciality Hospital in Chennai
80.2090416,12.9490397,DR.KAMAKSHI MEMORIAL HOSPITALS
80.2336873,13.0782897,Lifeline Hospitals
80.2587788,13.0100702,Fortis Malar Hospital
80.2452985,13.043097,Be Well Hospitals T. Nagar
80.1859035,12.9857747,CM Hospital
80.2404571,13.0719396,Dr. Mehta's Hospitals
80.1141179,12.9236633,Hindu Mission Hospital
80.1962095,13.0120754,St Thomas Hospital
80.206018,13.007323,Sri Balaji Hospital
80.241539,13.07796,VS Hospitals
80.2515375,13.0631824,Apollo Hospital Chennai
80.2012746,13.0380244,K.M.Speciality Hospital
80.270957,13.0825706,Apollo Hospital
80.2458651,12.9631681,Apollo Speciality Hospital
80.2490449,13.0790214,Kumaran Hospital
80.205766,13.076723,Prime Indian Multispeciality Hospital in Arumbakkam
80.1990092,12.9824173,Mount Multispeciality Hospitals
80.2440883,13.0294521,Venkataeswara Hospitals
80.2913914,13.0963871,CHENNAI NATIONAL HOSPITAL
80.2571361,13.038238,Kauvery Hospital Chennai
80.127652,12.9214543,"COSH Hospital - Ortho Multispeciality Hospital in Chennai, India"
80.2298597,13.0506077,J. V. Hospitals
80.1877727,12.9499907,Avinash Hospitals
80.2034821,13.048184,Sooriya Hospital
80.2489811,13.1267214,KVT Multi Speciality Hospital
80.0880632,12.9207342,Annai Arul Hospital
80.27109,13.0178334,Apollo Spectra Hospitals
80.1873735,13.0861477,The Madras Medical Mission Hospital
80.24592,13.0777125,Apollo First Med Hospitals
80.2194643,13.0725364,M.R. Hospital
80.2526141,13.0731192,VS Hospitals
80.1506203,13.0707104,Apollo Hospitals
80.2720114,13.0433676,C.S.I. Kalyani Multispeciality Hospital
80.2125547,13.0421165,Pallava Hospital
80.2419017,13.110833,Sen Hospital
80.1146708,12.9267007,Kasthuri Hospital
80.2518992,13.0350999,Girishwari Hospitals
80.2043232,13.005817,Raadha Rajendran Hospital
80.2451388,13.0337165,Apollo Specialty Hospital
80.1513003,12.9503313,Kavitha Ortho & Multispeciality Hospital
80.2272901,13.0757774,Billroth Hospitals
80.2247068,13.0418126,SRM HOSPITAL
80.1938473,12.9823769,Bharath Hospital
80.2572236,13.0361105,Apollo Spectra Hospital
80.2069314,13.0823769,Sundaram Medical Foundation Dr. Rangarajan Memorial Hospital
80.2512821,12.9495185,Sugan Hospital
80.2340002,13.0807349,Be Well Hospitals Kilpauk
80.2113598,13.0517709,SIMS Hospital
80.2532396,13.0821506,Noble Hospital
80.19825,13.0793931,Be Well Hospitals Anna Nagar
80.2307286,13.0625863,Amma Hospital
80.1612128,13.0332828,St Joseph Hospital
80.1854715,13.0813008,Chennai Hospital
80.28639,13.117138,AV Hospital
80.199162,13.086973,I.K. Hospitals
80.2556835,12.9981587,Adyar PM Hospital
