Long,Lat,Name
80.2721671,13.0595631,Zam Bazaar Market
80.2779095,13.0580588,Fancy Bazaar
80.2918948,13.0926176,A Cube
80.2599011,13.0915989,Greet Bazaar
80.2898847,13.0870385,Burma Bazaar
80.2034753,13.0001432,Vegetable Bazaar
80.2712767,13.091149,Moore Market
80.2643122,13.0587349,Smart Bazaar
80.2870583,13.0949406,MANNADI MAIN MARKET
80.2548549,13.0610175,বাঙালি বাজার
80.2909489,13.0896229,Burma Bajar Shops
80.2691562,13.0323932,South Mada Street Market
80.2911202,13.0907799,CHENNI BEACH MARKET
80.2234957,13.021153,বাজার
80.2010661,13.0350141,MGR Market
80.283289,13.1142292,Washermanpet Market
80.2309471,13.0978903,Chennai Corporation Market
80.2689926,13.0817935,Sri Ellaiamman Market
80.2689511,13.0531416,Mirsahibpet Market
80.216455,12.9910099,Smart Bazaar
80.2701371,13.0903309,NEHRU MARKET SHOPPING COMPLEX
80.2737683,13.0650245,Adam Market
80.285208,13.0977656,Mannadi market
80.278647,13.11283,Subbamal Street Market
80.2291423,13.0974322,Famous Super Bazaar
80.2145524,13.0661669,China Bazar சைனா பஜார்
80.2250924,12.9863463,Sri Periandavar Super Bazaar
80.2869411,13.0885286,Market Links
80.2785937,13.0281952,Marina Beach Fish Market
80.2774054,13.1023272,Kudubuddi Market
80.2911458,13.0980083,Olakadai Market
80.218399,13.045826,Budget Bazaar
80.2489085,13.0730469,Chennai Bazaar Online Shopping
80.2830085,13.1141924,Periya Market
80.2943233,13.137268,Market
80.2845608,13.0915944,Vegetables market
80.2106878,13.0283136,Roshan kapda bazar
80.2905055,13.0924653,Krishna agency
80.2625904,13.0373812,Popular Luz Pavement Market
80.2707184,13.0826802,Messapet Market
80.1959924,13.0047967,London Market
80.2113223,13.0371072,Meraso Market
80.1333386,13.1150178,Habbat super market
80.2077506,13.1360349,bhaji market
80.2508818,13.1376952,2Q Fresh Fish and meat Bazar
80.2643236,13.0713193,Kanne Mara Market
80.2445804,13.1295243,Matrimonial
