Long,Lat,Name
80.2301191,13.0347599,T.Nagar (MTC Chennai) Bus Terminus - T.Nagar
80.1745272,12.9513749,Perumal Nagar Bus Stand
80.2302358,13.0342827,T Nagar Bus Stand
80.2828449,13.0852521,Inter State Bus Terminal
80.2754692,13.0821105,Chennai Central Bus stop
80.276324,13.022359,Foreshore Estate Bus Terminus
80.1986064,13.0710259,Chennai Koyambedu Bus Stand
80.1278706,12.9374355,Mepz Bus Stand
80.2600616,13.0641519,Bus stand
80.275573,13.0821845,Central Station
80.2107744,13.0092473,GUINDY BUS STOP
80.2325773,13.1198567,Thiru Vi Ka Nagar Bus Depot
80.2056452,13.0680958,CHENNAI-PT Dr. M.G.R. BS
80.1502144,12.9692343,Pallavaram Bus Stand
80.2375742,13.1385671,BUS STAND
80.2231037,13.0212805,Saidapet Police Station Bus Stand
80.283725,13.0872233,Broadway Bus Stand
80.1204492,12.9234371,East Tambaram Bus Stand (MTC Chennai) - East Tambaram
80.2604595,13.0464264,Royapettah bus stop
80.2127135,12.9916628,Bus Stop
80.2820087,13.1391418,IOC BUS STAND CHENNAI
80.24809,13.1085964,Perambur Bus Terminus
80.2592793,12.9869349,Thiruvanmiyur Bus Terminus
80.2235329,13.0859585,Bus stand for 24A
80.252618,13.0978362,Bus stand
80.2656705,13.026764,Mandaveli bus stand
80.1400217,12.9515582,Chromepet bus stand
80.1894628,13.0168813,Bus Stop
80.145975,12.9064069,Padmavati Nagar Bus Stand
80.2192879,13.0201253,Post Office Bus Stop
80.2772773,13.1167116,Point A Korukkupet railway station bus stand
80.2843905,13.1173853,Maharani Bus Stand
80.2803717,13.0858181,Pai Kadai Bus Stop
80.0961198,12.9969765,Kundrathur Bus Stand
80.2097892,12.8747448,Semmancheri Bus Dept
80.221585,12.9761283,Velachery vijayanagar bus stand
80.247516,13.0425442,Dames Road Bus Stand
80.2219081,13.145924,Madhavaram Tirupati Bus Stop
80.20584,13.06606,Koyambedu Bus Terminal
80.1758906,13.0982625,Mannurpet Bus Stop
80.2430785,12.9971787,Kalikundram Bus Stand
80.0964027,12.9061804,"Perungalathur Bus Stand, Tambaram Corporation"
80.2132913,13.0080315,Race Course Bus Stand
80.232524,13.119937,Thiru.Vi.Ka. Nagar Bus Terminal
80.1985873,13.0707438,Chennai contract carriage bus Terminus ( omni bus stand ) CCBT
80.1869639,12.9949584,Cement Road Bus Stop
80.2281193,13.0305184,Kannamapet Bus Stop
