Long,Lat,Name
80.2769561,13.0538068,Arulmigu Sri Parthasarathy Perumal Temple Tiruvallikeni
80.2703902,12.9926039,Shri Ashtalakshmi Temple
80.2454484,12.8504688,Jagannath Shrine
80.2135209,13.0528421,Arulmigu Vadapalani Murugan Temple
80.289144,13.0945991,Chennai Sri Kaalikambal Kamadeswarar Temple
80.2676153,13.0318873,Ramakrishna Mutt Old Temple
80.2792056,13.0856773,Kandhakottam Temple
80.2605869,12.9848721,Arulmigu Marundeeswarar Temple
80.2052957,13.1640388,Adeeswar Temple
80.2670255,12.9966157,Sri Rathnagiriswarar Temple
80.2681172,13.0189951,Shri Ayyappan Temple
80.2201858,13.0200753,Kamakshi Amman Temple
80.2416158,13.0019182,Jalakanteswarar Temple
80.1484906,12.9207243,Om Sri Skandasramam
80.272773,13.0388958,Sri Malleeswarar Temple
80.2511761,12.8786756,Matsya Narayana Temple
80.2646789,13.0328131,Sai Baba Temple Mylapore
80.2805286,13.0884036,Arulmigu Sri Chenna Kesava Perumal Temple
80.2684915,12.9890877,Arupadai Veedu Murugan Temple
80.2673611,13.0707809,Ranganathar Temple
80.2700038,13.0335973,Kapaleeshwarar Temple (Lord Shiva )
80.2128285,13.0487917,Vengeeswarar Temple
80.1933711,13.0051637,St. Thomas Mount National Shrine
80.2650717,13.0324137,"All India Sai Samaj Sai Baba Temple, Mylapore"
80.1102125,13.0300226,Sri Kamakshi Amman Temple mangadu
80.1430373,12.9438238,Kumaran Kundram Temple
80.2804002,13.0888494,Chenna Malleshwar SHIVA Temple AND Devasthanam
80.2701894,13.0631274,புரட்சி பாரதம் கட்சி
80.2424621,13.110288,Shri Veannnugopaalaswaamy Temple Tower
80.2779285,13.0882165,Chennai Sri Ekambareswarar Devasthanam
80.241447,13.0483072,Vinayakar Shrine
80.27257,13.0351084,Peyalvar Temple
80.2055096,13.0825496,Lord Shiva shrine
80.2212445,13.044491,Madras Kali Bari temple
80.2461456,13.0402936,Arulmigu Sri Vinayagar Temple
80.2707871,13.0826914,Agateeshwarar temple
80.2763302,13.0887514,Shivaji Temple
80.254247,13.0849042,Arulmigu Gangadeeswarar Koil
80.2231759,13.02476,Arulmigu Karaneeswarar Temple
80.2432493,13.044919,Chennai famous astrologer
80.2756256,13.0592355,Sri Arasadi Karpaga Vinayagar Temple
80.2756703,13.0547998,Vasantha Mandapam
80.2366679,13.0395704,Sree Agasthiyar Temple
80.1555636,13.0310044,Sri Ramanatheeswarar Temple (Guru Sthalam)
80.2707871,13.0826914,Shri Pillaiyar Kovil
80.2302188,13.0359937,Siva Vishnu Temple
80.2621972,13.0762728,Sri Lankan Buddhist Temple මහා බෝධි
80.270645,13.0306053,Sri Adikesava Perumal Peyalwar Temple
80.2646113,13.1181708,Aman Mandir
80.2124631,13.0091197,Sri Paadaleeswarar Temple
80.2710447,13.0396346,Thiruvalluvar Temple
80.2200374,13.0565792,Bharathwajeshwarar Temple
80.2877244,13.093479,Arulmigu Kachaleeswarar Temple
80.2747431,13.0757818,Shri Lord Shankar Temple
80.2758228,13.0870583,Arulmigu Sri Ellayaiamman Temple
80.224262,12.9832383,Vinayagar shrine
80.261702,13.1157509,Ravishwarar Shiva Temple
80.2393834,13.0459883,temple hindou de Kapalishwara
80.1913058,13.1247499,Shrine
80.2763001,13.0543327,Peyazhvar Sannidhi
80.252344,13.090711,Chennai Temple
80.2251744,13.0359079,Arulmigu Kasi Vishwanathar Temple
80.2760123,13.0539921,Arulmigu Thelliyasinga Perumal Temple
80.2807235,13.0889323,Vinayaga Shrine
80.2647116,13.0390482,Sree rajaganapathi shrine
80.2361403,13.1104689,அருள்மிகு ஶ்ரீ தையல்நாயகி சமேத வைத்தீஸ்வரர் திருக்கோயில்
80.2712109,13.0305002,Sri Vedantha Desikar Devasthanam
80.279055,13.0989426,Sri Jeeva Karunya Kadakshi Amman Temple
80.2706158,13.0826727,Hindu Temple
80.2151725,12.9746355,Small Hindu Temple
80.1883163,12.9849771,Arthanareeswarar Temple
80.2453744,13.0999875,ஸ்ரீ நாகதம்மன் கோயில்
80.2317838,13.0818779,Matha Temple
80.2779821,13.0540029,Temple Pond
80.2439917,13.0592516,Vishnu Temple
80.2800634,13.0857634,௧ந்திகோட்டம் வள்ளலார் வளைவு
80.2787144,13.0945732,Arunachaleswarar Temple
80.23393,13.0315526,Madurai Veeran Kovil
80.2672797,13.0692587,Meenakshi Temple
80.2653856,13.0115161,Theosophical Society Buddha Temple
80.2714608,13.0378181,Arulmigu Madhava Perumal Thirukovil
80.2767205,13.0890703,Temple
80.2773162,13.0970802,temple
80.2570646,13.0744897,Temple
80.2303558,13.1346487,திரு கற்பாகாம்பாள் சமேத கபாலீசுவரர் சுவாமி ஆலயம்
80.2734243,13.0508792,ஶ்ரீ சிவசக்தி அங்காளபரமேஸ்வரி திருக்கோவில்
80.2360322,13.0684239,Amman Temple
80.2791445,13.085932,Kandaswami Temple Kandhakottam
80.2830244,13.0952153,Vudayavar Kovil
80.2611864,13.0282169,Samskar pitrusthala
80.2337085,13.0987121,Place of worship
80.278411,13.0898497,RADHA KRISHNA TEMPLE
80.2151791,12.9743442,Small Ganesha Shrine
80.2550607,13.0748194,Sadai Amman Temple
80.278482,13.0883731,TEMPLE ARTS AND CEAFTS
80.2515368,13.0462139,Arulmigu Vinayakar Temple
80.2437322,13.0508474,Small Ganesha shrine
80.2597426,13.0236479,Temple
80.2232274,13.0245104,Karaneeswarar Temple's Main gate
80.2269405,13.0815921,Sri Devi Karumariyamman Temple
80.2412834,13.060118,Agatheeswarar Temple
80.2793176,13.0892515,sindhathiri vinayagar temple
80.2776364,13.0336604,Santhome Cathedral Basilica
80.241058,13.1090791,Our Lady of Lourdes Shrine
80.2424198,13.0695355,Karukathamman Temple
80.2637113,13.0751152,Sacred Heart Shrine
80.2650981,13.0499014,Temple
80.261402,13.0293425,Sri Uchishta Vallabesa Ganeshar Temple
80.2639441,13.066501,Vinayagar Temple
80.2655184,13.0578127,Arulmigu Velayuthamman Temple
80.2593555,13.0290364,Hindu Temple
80.2409525,13.0596812,Shree ellaiyammam temple
80.2721883,13.0746195,ஸ்ரீ இடர்தீர்த்த விநாயகர் திருக்கோயில்
80.1940313,13.0030689,Temple
80.2436574,13.0528742,அருள் மிகு சுப விநாயகர் ஆலயம்
80.2718556,13.1113941,korukkupet anan
80.2736288,13.0338962,Hindu Temple
80.2599104,13.0212842,ஶ்ரீ சாமுண்டீஸ்வரி அம்மன் ஆலயம்
80.2535599,13.0961678,Sri Rama KulaSekara Azhavar Temple
80.2098312,12.9273893,Temple
80.2626972,13.0208944,Arulmigu Sri Veera Anjanayer Temple Mylapore
80.2627595,13.0381228,Our Lady of Light Shrine (Luz Church)
80.2905929,13.0994901,Sri Vilvanathar Temple
80.2013,12.9936504,Shree Vinayagar Shrine
80.2776102,13.046662,Devi Shri Karummariaman temple
80.2675077,13.0310677,Sri Ramakrishna Math Chennai
80.2015784,13.092254,Sri 7 Hills Vinayagar Temple
80.2813602,13.0624999,Hindu Temple
80.2622856,13.0906729,"chennai chidambareshwarar, nadarajer kovil"
80.2676453,13.0714021,Chinnachadaiyamman Temple
80.2801211,13.1052803,Arulmigu Angalaparameshwari Temple
80.2412184,13.0979813,Arulmigu Kasi Viswanathar Temple
80.2798119,13.1168877,Sri Venkateswara Temple
80.227397,13.016507,SHRINE OF OUR LADY OF HEALTH & ST. THOMAS THE APOSTLE
80.280703,13.088969,ANJANEYA SHRINE
80.1913281,13.0164104,Temple
80.2455313,13.1108829,Sri Ayyappa Temple
80.2758615,13.0554154,Sri Raghavendra Swamy Temple
80.2370056,13.0649584,Vinayagar Temple
80.2293101,13.026175,Temple
80.2703641,13.0487691,Temple
80.218958,12.9763211,North Street Ganesha Shrine
80.2794402,13.0936785,Nk
80.2340539,13.086343,Vinayagar temple
80.2770261,13.0196236,Arulmigu Sri Mahamaariamman Aalayam
80.2350366,13.0962277,Narayana Perumal Temple
80.2243437,13.0204919,Sri Theerkum Vinayagar Temple
80.2438394,13.056377,Kamakshi Amman temple
80.182824,12.8864881,Sri Varadaraja Perumal Temple
80.2550043,13.1350289,சுந்தரப்பெருமாள் கோவில்
80.2145045,12.8614393,பெரியபாளையத்தம்மன் அறக்கட்டளை
80.2274869,13.020109,Matha Temple
80.2689796,13.0323526,Shiva temple
80.2031518,12.9893414,Temple
80.2408294,13.0975064,Kasi Viswanathan temple lake
80.2412722,13.0454427,Tirumala Tirupati Devasthanam
80.276912,13.0504497,Nirdisaianandar Swamy Jeeva Samadhi Temple
80.2771875,13.0906875,Bairagi Math
80.2525484,13.1279875,Kalikambal Temple
80.2319232,13.0563609,Sree Ayyappan-Guruvayurappan Temple
80.264848,13.0711461,Vinayagar Temple
80.2107049,13.0058762,Kothanda Ramar Koil
80.2864859,13.1110696,Temple
80.1596383,12.8860742,Kailasanathar Temple
80.2785244,13.0868448,"அருள்மிகு காமாட்சி உடனுறை ஏகாம்பரேஸ்வரர் திருக்கோயில், சவுகார்பேட்டை."
80.2689527,13.0728957,Pillaiyar Patti Sri Karpaga Vinayagar & Arumuga Muragan Thiru Temple
