Long,Lat,Name
80.2567955,13.0716298,Government Museum Chennai
80.2876185,13.0806383,Fort St.George Museum
80.2514128,13.0505371,Semmozhi Poonga
80.2769561,13.0538068,Arulmigu Sri Parthasarathy Perumal Temple Tiruvallikeni
80.2792303,13.0397427,Chennai Lighthouse
80.2439939,13.012005,B.M. Birla Planetarium
80.0808294,12.8797685,Arignar Anna Zoological Park
80.2511503,12.9131692,Snow Kingdom (Chennai)
80.2728694,12.9992201,Besant Nagar Beach
80.2516773,12.8781644,Matsya Narayana Temple Beach
80.2386284,13.004233,Chennai Snake Park
80.2776364,13.0336604,Santhome Cathedral Basilica
80.2804464,13.0494354,Vivekananda House
80.2847104,13.0551904,World's Second Longest Beach - Marina Beach point
80.2135209,13.0528421,Arulmigu Vadapalani Murugan Temple
80.2814025,13.0411187,Gandhi Beach Chennai
80.2455173,12.915124,South Chennai
80.2717446,12.9988651,Chennai beach
80.1803724,12.9703853,Hidden Lake
80.2332009,13.0412089,Panagal Park
80.1939804,13.0140107,Madras War Cemetery
80.2865645,13.0600905,Marina Beach
80.2420451,12.823037,DakshinaChitra Heritage Museum
80.2550343,13.0549155,Thousand Lights Shia Mosque
80.2703902,12.9926039,Shri Ashtalakshmi Temple
80.251676,12.9133805,Live Art Museum
80.250524,12.914221,VGP Universal Kingdom
80.2726339,13.0818644,Victoria Public Hall
80.2605869,12.9848721,Arulmigu Marundeeswarar Temple
80.2802636,13.0455935,Namma Chennai View Point
80.285625,13.0734897,Victory War Memorial
80.1981974,13.1062866,Villivakkam Lake
80.2419164,12.906134,ISKCON Chennai
80.2540883,12.8980359,Akkarai Beach
80.2086749,13.1001073,Chennai Rail Museum
80.2568178,12.9214993,Beautiful Beach
80.234314,13.0631126,Dr. APJ Abdul Kalam Park
80.2562055,12.9111207,Golden Beach
80.2231454,13.024603,Temple Tower
80.2537309,12.8920394,ECR beach
80.2732222,13.0734444,May Day Park
80.2492368,12.8578199,Mrythula’s Beach
80.2049487,13.0417753,Sivan Park
80.1704174,12.909366,LAKE VIEW SPOT
80.2855262,13.0654523,Perarignar Anna Memorial
80.1985761,13.0045999,Battlefield - Seige of Madras
80.2377935,13.0439662,Jeeva Park
80.2834,13.0653833,Tree Monument
80.2721301,12.9994102,Karl Schmidt Memorial
80.2882834,13.0793055,"Secretariat Park, Chennai"
80.2434937,13.062932,Chester Bennington Mural (One More Light ) Chennai
80.2496384,12.8684369,uthandi beach
80.2410836,13.0767297,Chetpet Ecopark
80.2902143,13.0668969,Covum River mouth
80.2437897,13.0127211,Periyar Science and Technology Centre
80.0784938,13.0149599,Chembarambakkam View Point
80.2796665,13.0509193,Chennai Day/ Memorable Wall Art for Fishermen
80.2391454,13.0065181,"Rajaji Memorial - Chennai, Tamilnadu"
80.2888226,13.0868685,Old Light House
80.3044783,13.1294416,Kasimedu beach
80.2233549,13.0910439,Daga Castle Sitaram Kunj
80.1369136,13.0868201,Temple
