Weekday,Lat,Long,Count,Avg_speed,Chennai_colleges,Chennai_hotels,Chennai_schools,Chennai_hospitals,Chennai_markets,Chennai_transport_stand,Chennai_religious_places,Chennai_tourist_places
Monday,12.952523,80.141,74,28,0,1,0,0,0,1,1,0
Monday,12.95824,80.144175,66,30,0,2,0,1,0,1,0,0
Monday,12.934426,80.12566,62,30,0,0,0,0,0,4,0,0
Monday,13.001921,80.197042,57,36,1,0,0,1,2,0,2,1
Monday,13.008249,80.209615,56,43,0,0,0,2,0,6,2,1
Monday,13.004967,80.201294,55,41,1,0,0,3,2,0,2,1
Monday,12.930137,80.121175,54,29,1,0,0,3,0,4,0,0
Monday,13.011294,80.223416,53,35,2,1,1,2,0,0,1,0
Monday,12.938857,80.129551,50,35,0,0,1,1,0,3,0,1
Monday,12.948357,80.137874,47,34,0,1,1,2,0,2,1,0
Monday,12.999205,80.193147,46,35,1,1,0,0,1,1,2,1
Monday,12.991942,80.182177,43,34,0,1,0,1,0,1,0,1
Monday,12.988104,80.177174,43,32,0,0,0,1,0,0,0,1
Monday,13.010263,80.215708,43,39,1,1,0,1,0,6,2,1
Monday,12.995697,80.188663,43,37,0,2,0,0,0,1,0,0
Monday,12.963016,80.146756,42,33,0,1,0,1,0,1,0,0
Monday,12.906392,80.096494,42,30,0,0,0,0,0,1,0,1
Monday,12.943554,80.134072,41,38,0,0,1,2,0,3,1,0
Monday,12.926838,80.117942,39,36,1,0,0,6,0,4,0,0
Monday,12.90199,80.092845,38,40,0,0,0,0,0,1,0,1
Monday,12.912622,80.101448,38,37,0,0,0,0,0,1,0,0
Monday,13.015085,80.225984,37,33,2,1,2,2,1,3,4,0
Monday,12.984756,80.172279,33,38,0,0,0,0,0,0,0,1
Monday,12.972313,80.151748,33,39,0,1,0,0,0,1,0,1
Monday,12.916045,80.105271,33,41,0,0,0,0,0,0,0,0
Monday,13.02764,80.234774,32,34,9,2,0,2,0,3,3,0
Monday,12.896804,80.089153,31,46,0,0,0,0,0,0,0,1
Monday,13.025763,80.230478,30,30,5,0,0,0,1,4,6,1
Monday,12.882654,80.081738,30,33,0,0,0,0,0,1,0,1
