Weekday,Lat,Long,Count,Avg_speed,Chennai_colleges,Chennai_hotels,Chennai_schools,Chennai_hospitals,Chennai_markets,Chennai_transport_stand,Chennai_religious_places,Chennai_tourist_places
Monday,12.875707,80.083001,64,10,0,0,0,0,0,2,0,1
Monday,13.053162,80.271694,48,14,2,3,9,4,3,3,14,4
Monday,13.057952,80.274087,32,15,4,12,11,7,4,3,12,6
Monday,13.062754,80.274141,27,15,3,18,11,9,3,5,7,4
Monday,13.053683,80.266467,26,19,4,8,9,3,3,2,5,1
Monday,13.069615,80.266563,20,16,1,23,7,6,2,4,11,3
Monday,13.068177,80.271757,15,15,1,15,10,6,3,6,9,4
Monday,13.072698,80.262216,11,17,4,26,8,6,1,6,11,6
Monday,13.032329,80.267385,9,17,3,1,3,3,2,5,21,1
Monday,12.976553,80.135523,9,20,0,0,0,1,0,0,0,0
Monday,12.512142,79.886002,8,16,0,0,0,0,0,0,0,0
Monday,12.687514,79.983034,8,14,0,0,0,0,0,0,0,0
Monday,12.983368,80.127207,7,23,0,0,0,0,0,0,0,0
Monday,12.692714,79.979629,6,18,0,0,0,0,0,0,0,0
Monday,12.965344,80.1915,6,20,0,0,0,0,0,0,0,0
Monday,12.682008,79.982206,6,12,0,0,0,0,0,0,0,0
Monday,13.054358,80.259796,6,15,7,9,7,5,2,6,5,2
Monday,13.065218,80.247813,6,19,5,10,6,6,2,4,4,2
Monday,13.049102,80.264455,5,26,5,7,9,3,1,3,6,0
Monday,13.06751,80.255004,5,29,5,12,8,8,2,2,4,3
Monday,13.040143,80.267969,5,19,4,4,2,4,2,3,15,0
Monday,12.701056,79.96935,5,38,0,0,0,0,0,0,0,0
Monday,12.997918,80.100636,4,20,0,0,0,0,0,1,0,0
Monday,12.881091,80.080669,4,22,0,0,0,0,0,2,0,1
Monday,12.971318,80.146332,4,14,0,1,0,0,0,1,0,0
Monday,12.98169,80.138216,4,29,0,0,0,0,0,0,0,0
Monday,12.697793,79.976337,4,27,0,0,0,0,0,0,0,0
Monday,12.957879,80.187071,3,15,0,0,0,1,0,0,0,1
Monday,12.985397,80.12084,3,26,0,0,0,0,0,0,0,0
Monday,12.986305,80.142041,3,10,0,0,0,0,0,0,0,0
Monday,13.01729,80.260314,3,35,2,0,3,1,0,0,5,2
Monday,13.062117,80.266293,3,10,3,21,9,5,3,6,5,3
Monday,13.03949,80.11375,2,26,0,0,0,0,0,0,0,0
Monday,12.964704,80.196084,2,20,0,0,0,0,0,0,0,0
Monday,13.007377,80.259341,2,12,0,1,6,1,0,1,1,2
Monday,12.940021,80.182755,2,24,0,0,0,0,0,0,0,0
Monday,12.76085,80.003378,1,23,0,0,0,0,0,0,0,0
