Alert,Date,Time,Lat,Long,Vehicle,Speed,Weekday
cas_hmw,2022-06-01,05:43:03,12.92877,80.119872,2846,42,Wednesday
cas_hmw,2022-06-01,05:44:06,12.932561,80.123647,2846,38,Wednesday
cas_hmw,2022-06-01,05:45:13,12.936615,80.127451,2846,27,Wednesday
cas_hmw,2022-06-01,06:14:53,12.815835,80.033858,805,45,Wednesday
cas_hmw,2022-06-01,06:15:35,12.803876,80.026072,805,58,Wednesday
cas_hmw,2022-06-01,06:15:38,12.803876,80.026072,805,58,Wednesday
cas_hmw,2022-06-01,06:16:37,12.796555,80.021272,805,58,Wednesday
cas_hmw,2022-06-01,06:16:46,12.795046,80.020296,805,0,Wednesday
cas_hmw,2022-06-01,06:18:55,12.779812,80.01172,805,58,Wednesday
cas_hmw,2022-06-01,06:19:10,12.777725,80.010838,805,48,Wednesday
cas_hmw,2022-06-01,06:20:31,13.012897,80.221989,2846,49,Wednesday
cas_hmw,2022-06-01,06:21:48,12.757137,80.002432,805,58,Wednesday
cas_hmw,2022-06-01,06:27:15,13.031173,80.239814,2846,28,Wednesday
cas_hmw,2022-06-01,06:29:02,12.709089,79.977492,805,58,Wednesday
cas_hmw,2022-06-01,06:30:10,13.039036,80.246748,2846,17,Wednesday
cas_hmw,2022-06-01,06:30:21,12.697469,79.9672,805,60,Wednesday
cas_hmw,2022-06-01,06:30:23,12.697469,79.9672,805,60,Wednesday
cas_hmw,2022-06-01,06:30:49,13.042432,80.247439,2846,37,Wednesday
cas_hmw,2022-06-01,06:31:59,12.685681,79.959317,805,23,Wednesday
cas_hmw,2022-06-01,06:32:11,12.684891,79.959075,805,21,Wednesday
cas_hmw,2022-06-01,06:32:19,12.684891,79.959075,805,21,Wednesday
cas_hmw,2022-06-01,06:32:21,13.053062,80.251879,2846,56,Wednesday
cas_hmw,2022-06-01,06:36:28,12.655738,79.952993,805,58,Wednesday
cas_hmw,2022-06-01,06:41:23,12.630791,79.931575,805,58,Wednesday
cas_hmw,2022-06-01,06:46:41,12.586458,79.919519,805,58,Wednesday
cas_hmw,2022-06-01,07:06:38,12.509666,79.884816,805,17,Wednesday
cas_hmw,2022-06-01,07:06:46,12.509666,79.884816,805,17,Wednesday
cas_hmw,2022-06-01,07:12:09,13.071684,80.259156,2846,23,Wednesday
cas_hmw,2022-06-01,07:13:04,13.073034,80.261821,2846,20,Wednesday
cas_hmw,2022-06-01,07:15:40,13.068967,80.267456,2846,28,Wednesday
cas_hmw,2022-06-01,07:16:46,12.572158,79.916154,805,58,Wednesday
cas_hmw,2022-06-01,07:25:27,12.641655,79.937271,805,58,Wednesday
cas_hmw,2022-06-01,07:27:05,12.653916,79.940029,805,55,Wednesday
cas_hmw,2022-06-01,07:28:36,12.657813,79.941476,805,56,Wednesday
cas_hmw,2022-06-01,07:29:09,13.05436,80.258608,2846,42,Wednesday
cas_hmw,2022-06-01,07:29:25,13.054712,80.254456,2846,21,Wednesday
cas_hmw,2022-06-01,07:29:33,13.053204,80.252145,2846,46,Wednesday
cas_hmw,2022-06-01,07:32:45,13.040589,80.24727,2846,34,Wednesday
cas_hmw,2022-06-01,07:32:53,13.03978,80.247116,2846,29,Wednesday
cas_hmw,2022-06-01,07:32:58,13.03978,80.247116,2846,29,Wednesday
cas_hmw,2022-06-01,07:33:53,13.034943,80.245836,2846,18,Wednesday
cas_hmw,2022-06-01,07:36:58,13.026211,80.232366,2846,18,Wednesday
cas_hmw,2022-06-01,07:38:04,13.02456,80.22893,2846,24,Wednesday
cas_hmw,2022-06-01,07:38:37,13.023507,80.227613,2846,36,Wednesday
cas_hmw,2022-06-01,07:38:45,13.022054,80.226318,2846,37,Wednesday
cas_hmw,2022-06-01,07:38:55,13.021284,80.225772,2846,34,Wednesday
cas_hmw,2022-06-01,07:42:02,13.012879,80.226848,2846,44,Wednesday
cas_hmw,2022-06-01,07:42:31,13.009793,80.226996,2846,39,Wednesday
cas_hmw,2022-06-01,07:43:35,13.011305,80.223556,2846,10,Wednesday
cas_hmw,2022-06-01,07:43:52,13.011501,80.223093,2846,29,Wednesday
cas_hmw,2022-06-01,07:45:50,12.697702,79.976182,805,17,Wednesday
cas_hmw,2022-06-01,07:45:53,13.010958,80.217332,2846,52,Wednesday
cas_hmw,2022-06-01,07:47:21,13.010101,80.214912,2846,51,Wednesday
cas_hmw,2022-06-01,07:47:27,13.009668,80.2136,2846,55,Wednesday
cas_hmw,2022-06-01,07:47:32,13.009668,80.2136,2846,55,Wednesday
cas_hmw,2022-06-01,07:48:53,13.008908,80.211645,2846,28,Wednesday
cas_hmw,2022-06-01,07:49:08,12.697522,79.971618,805,0,Wednesday
cas_hmw,2022-06-01,07:51:03,13.003073,80.200804,2846,42,Wednesday
cas_hmw,2022-06-01,07:51:12,13.000922,80.195361,2846,34,Wednesday
cas_hmw,2022-06-01,07:51:43,12.71422,79.98012,805,46,Wednesday
cas_hmw,2022-06-01,07:53:16,12.989675,80.179192,2846,0,Wednesday
cas_hmw,2022-06-01,07:53:52,12.729431,79.98269,805,53,Wednesday
cas_hmw,2022-06-01,07:54:27,12.986855,80.175451,2846,50,Wednesday
cas_hmw,2022-06-01,07:55:13,12.986581,80.175037,2846,0,Wednesday
cas_hmw,2022-06-01,07:57:22,12.985184,80.172958,2846,56,Wednesday
cas_hmw,2022-06-01,07:59:27,12.980644,80.165306,2846,58,Wednesday
cas_hmw,2022-06-01,08:00:36,12.972456,80.151849,2846,24,Wednesday
cas_hmw,2022-06-01,08:00:38,12.972404,80.151786,2846,0,Wednesday
cas_hmw,2022-06-01,08:01:37,12.966983,80.148989,2846,12,Wednesday
cas_hmw,2022-06-01,08:02:04,12.96606,80.148542,2846,29,Wednesday
cas_hmw,2022-06-01,08:04:20,12.795164,80.020115,805,54,Wednesday
cas_hmw,2022-06-01,08:04:39,12.953242,80.141675,2846,21,Wednesday
cas_hmw,2022-06-01,08:04:50,12.953242,80.141675,2846,21,Wednesday
cas_hmw,2022-06-01,08:05:22,12.951464,80.140379,2846,30,Wednesday
cas_hmw,2022-06-01,08:05:56,12.947855,80.137546,2846,52,Wednesday
cas_hmw,2022-06-01,08:07:51,12.93565,80.126782,2846,27,Wednesday
cas_hmw,2022-06-01,08:08:05,12.934934,80.126131,2846,44,Wednesday
cas_hmw,2022-06-01,08:08:12,12.934045,80.125261,2846,52,Wednesday
cas_hmw,2022-06-01,08:08:55,12.930063,80.121326,2846,54,Wednesday
cas_hmw,2022-06-01,08:09:30,12.836011,80.051273,805,58,Wednesday
cas_hmw,2022-06-01,08:11:13,12.926884,80.118105,2846,12,Wednesday
cas_hmw,2022-06-01,08:13:18,12.920216,80.111283,2846,58,Wednesday
cas_hmw,2022-06-01,08:13:34,12.917444,80.10787,2846,54,Wednesday
cas_hmw,2022-06-01,08:14:03,12.910552,80.101074,2846,52,Wednesday
cas_hmw,2022-06-01,08:14:06,12.910552,80.101074,2846,52,Wednesday
cas_hmw,2022-06-01,08:17:53,12.90601,80.096193,2846,16,Wednesday
cas_hmw,2022-06-01,08:18:06,12.905251,80.095648,2846,19,Wednesday
cas_hmw,2022-06-01,08:18:12,12.865479,80.074644,805,39,Wednesday
cas_hmw,2022-06-01,08:19:16,12.869731,80.076324,805,33,Wednesday
cas_hmw,2022-06-01,08:19:24,12.900835,80.092213,2846,49,Wednesday
cas_hmw,2022-06-01,08:20:47,12.886148,80.083047,2846,61,Wednesday
cas_hmw,2022-06-01,08:21:29,12.999845,80.12545,1995,58,Wednesday
cas_hmw,2022-06-01,08:24:06,12.984884,80.120986,1995,58,Wednesday
cas_hmw,2022-06-01,10:04:18,12.877598,80.084304,5339,20,Wednesday
cas_hmw,2022-06-01,10:06:56,12.864632,80.074536,5339,43,Wednesday
cas_hmw,2022-06-01,12:02:05,12.854437,80.0679,5339,39,Wednesday
cas_hmw,2022-06-01,16:32:46,12.878074,80.083032,805,49,Wednesday
cas_hmw,2022-06-01,16:40:14,12.859471,80.07196,805,35,Wednesday
cas_hmw,2022-06-01,16:40:18,12.859471,80.07196,805,35,Wednesday
cas_hmw,2022-06-01,16:40:46,12.856501,80.069621,805,56,Wednesday
cas_hmw,2022-06-01,16:41:42,12.850645,80.06538,805,47,Wednesday
cas_hmw,2022-06-01,16:41:43,12.850645,80.06538,805,47,Wednesday
cas_hmw,2022-06-01,16:45:02,12.84065,80.056479,805,0,Wednesday
cas_hmw,2022-06-01,16:46:33,12.832443,80.047778,805,57,Wednesday
cas_hmw,2022-06-01,16:48:53,12.821134,80.037588,805,31,Wednesday
cas_hmw,2022-06-01,16:51:56,12.80241,80.025049,805,57,Wednesday
cas_hmw,2022-06-01,16:52:39,12.798124,80.022267,805,50,Wednesday
cas_hmw,2022-06-01,16:52:41,12.798124,80.022267,805,50,Wednesday
cas_hmw,2022-06-01,16:52:41,12.798124,80.022267,805,50,Wednesday
cas_hmw,2022-06-01,17:06:26,12.723498,79.981837,805,28,Wednesday
cas_hmw,2022-06-01,17:09:18,12.704411,79.973162,805,48,Wednesday
cas_hmw,2022-06-01,17:09:36,12.703771,79.972302,805,40,Wednesday
cas_hmw,2022-06-01,17:09:55,12.702188,79.970316,805,53,Wednesday
cas_hmw,2022-06-01,17:10:00,12.702188,79.970316,805,53,Wednesday
cas_hmw,2022-06-01,17:12:40,12.69758,79.975137,805,31,Wednesday
cas_hmw,2022-06-01,17:14:39,12.694532,79.978446,805,28,Wednesday
cas_hmw,2022-06-01,17:20:15,12.681486,79.981856,805,37,Wednesday
cas_hmw,2022-06-01,17:20:18,12.680532,79.981268,805,38,Wednesday
cas_hmw,2022-06-01,17:20:19,12.680532,79.981268,805,38,Wednesday
cas_hmw,2022-06-01,17:30:00,12.653173,79.942308,805,51,Wednesday
cas_hmw,2022-06-01,17:30:47,12.647325,79.940521,805,50,Wednesday
cas_hmw,2022-06-01,17:34:33,12.618543,79.926772,805,58,Wednesday
cas_hmw,2022-06-01,17:35:10,12.614432,79.925271,805,58,Wednesday
cas_hmw,2022-06-01,17:35:13,12.612638,79.924241,805,55,Wednesday
cas_hmw,2022-06-01,17:39:18,12.580941,79.918765,805,58,Wednesday
cas_hmw,2022-06-01,17:39:25,12.578793,79.917837,805,58,Wednesday
cas_hmw,2022-06-01,17:39:43,12.576391,79.917196,805,57,Wednesday
cas_hmw,2022-06-01,17:39:50,12.576391,79.917196,805,57,Wednesday
cas_hmw,2022-06-01,17:40:18,12.571883,79.916218,805,55,Wednesday
