Alert,Date,Time,Lat,Long,Vehicle,Speed,Weekday,Chennai_colleges,Chennai_hotels,Chennai_schools,Chennai_hospitals,Chennai_markets,Chennai_transport_stand,Chennai_religious_places,Chennai_tourist_places
cas_fcw,2022-08-14,07:44:33,13.09113,80.291188,5339,30,Sunday,2,3,7,4,10,3,6,2
cas_fcw,2022-08-14,11:41:21,13.046573,80.280281,5339,44,Sunday,3,1,0,1,0,1,9,12
cas_fcw,2022-08-14,11:44:14,13.033701,80.277422,5339,33,Sunday,3,0,0,1,2,2,13,6
cas_fcw,2022-08-14,11:47:58,13.021569,80.270718,5339,37,Sunday,2,2,1,1,0,3,4,3
cas_fcw,2022-08-14,12:06:57,12.981468,80.23351,5339,30,Sunday,0,0,0,2,0,2,1,0
cas_fcw,2022-08-14,12:31:22,12.945877,80.136089,5339,55,Sunday,0,0,1,2,0,2,1,0
cas_fcw,2022-08-14,12:33:18,12.935595,80.126741,5339,43,Sunday,0,0,0,0,0,3,0,0
cas_fcw,2022-08-14,12:35:46,12.928988,80.120268,5339,51,Sunday,1,0,0,6,0,4,0,0
cas_fcw,2022-08-14,12:37:05,12.92427,80.115501,5339,56,Sunday,1,0,0,6,0,4,0,0
cas_fcw,2022-08-14,12:48:08,12.882225,80.081522,5339,38,Sunday,0,0,0,0,0,1,0,1
