Alert,Date,Time,Lat,Long,Vehicle,Speed,Weekday,Chennai_colleges,Chennai_hotels,Chennai_schools,Chennai_hospitals,Chennai_markets,Chennai_transport_stand,Chennai_religious_places,Chennai_tourist_places
cas_ldw,2022-08-14,06:46:39,12.891129,80.084947,5339,57,Sunday,0,0,0,0,0,0,0,0
cas_ldw,2022-08-14,06:49:05,12.90852,80.097776,5339,52,Sunday,0,0,0,0,0,1,0,0
cas_ldw,2022-08-14,06:50:38,12.915916,80.104989,5339,56,Sunday,0,0,0,0,0,0,0,0
cas_ldw,2022-08-14,06:51:21,12.918407,80.108939,5339,40,Sunday,0,0,0,3,0,0,0,0
cas_ldw,2022-08-14,07:02:37,12.958944,80.14457,5339,50,Sunday,0,2,0,1,0,1,0,0
cas_ldw,2022-08-14,07:05:01,12.974228,80.154377,5339,60,Sunday,0,0,0,0,0,1,0,3
cas_ldw,2022-08-14,07:07:52,12.986139,80.174193,5339,52,Sunday,0,0,0,0,0,0,0,1
cas_ldw,2022-08-14,07:10:29,12.996498,80.189758,5339,53,Sunday,0,2,0,0,0,1,1,0
cas_ldw,2022-08-14,07:10:55,12.999553,80.193525,5339,58,Sunday,1,1,0,0,1,1,2,1
cas_ldw,2022-08-14,07:11:06,12.999553,80.193525,5339,58,Sunday,1,1,0,0,1,1,2,1
cas_ldw,2022-08-14,07:14:56,13.008494,80.210307,5339,50,Sunday,0,0,0,2,0,6,2,1
cas_ldw,2022-08-14,07:24:28,13.033765,80.244244,5339,46,Sunday,7,9,2,8,0,6,2,2
cas_ldw,2022-08-14,07:27:20,13.0414,80.247341,5339,49,Sunday,8,15,4,6,0,7,6,2
cas_ldw,2022-08-14,07:29:30,13.053409,80.252352,5339,61,Sunday,10,10,8,9,1,9,7,3
cas_ldw,2022-08-14,07:51:18,13.084664,80.283353,5339,49,Sunday,2,12,13,4,4,10,19,6
cas_ldw,2022-08-14,11:37:19,13.071475,80.285181,5339,47,Sunday,0,0,0,0,0,1,1,12
cas_ldw,2022-08-14,11:39:29,13.058126,80.282191,5339,57,Sunday,3,4,6,4,1,3,8,16
cas_ldw,2022-08-14,12:02:45,12.98181,80.252673,5339,54,Sunday,0,1,0,1,0,2,1,2
cas_ldw,2022-08-14,12:04:40,12.980874,80.246921,5339,42,Sunday,0,1,0,2,0,1,0,0
cas_ldw,2022-08-14,12:06:28,12.981142,80.235962,5339,50,Sunday,0,0,0,2,0,2,1,0
cas_ldw,2022-08-14,12:13:20,12.957199,80.213491,5339,53,Sunday,0,0,0,0,0,1,0,0
cas_ldw,2022-08-14,12:16:42,12.948662,80.204126,5339,58,Sunday,0,0,0,1,0,0,0,0
cas_ldw,2022-08-14,12:19:02,12.948585,80.191652,5339,56,Sunday,0,0,0,1,0,0,1,0
cas_ldw,2022-08-14,12:20:39,12.950193,80.178537,5339,56,Sunday,0,1,0,0,0,1,0,0
cas_ldw,2022-08-14,12:21:47,12.95175,80.171576,5339,50,Sunday,0,1,0,0,0,1,0,0
cas_ldw,2022-08-14,12:22:41,12.953267,80.164447,5339,58,Sunday,0,1,0,0,0,0,0,0
cas_ldw,2022-08-14,12:23:02,12.953858,80.161642,5339,58,Sunday,0,0,0,0,0,0,0,0
cas_ldw,2022-08-14,12:32:40,12.938623,80.129368,5339,51,Sunday,0,0,1,1,0,3,0,1
cas_ldw,2022-08-14,12:38:09,12.919355,80.110367,5339,58,Sunday,0,0,0,4,0,0,0,0
cas_ldw,2022-08-14,12:45:39,12.900167,80.091708,5339,52,Sunday,0,0,0,0,0,1,0,1
cas_ldw,2022-08-14,12:46:27,12.894883,80.087677,5339,53,Sunday,0,0,0,0,0,0,0,0
cas_ldw,2022-08-14,12:46:53,12.891509,80.085256,5339,55,Sunday,0,0,0,0,0,0,0,0
cas_ldw,2022-08-14,12:47:15,12.889176,80.084256,5339,55,Sunday,0,0,0,0,0,0,0,0
